pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.014111757667471,4419,141,114,5,0.6905445913782814,0.6776591427320195,0.7090682538235992,27281.90969983847,5441.02545343541
"[0.32, 0.49)",0.405,4.975462084174765,4872,169,133,15,0.6912397194214087,0.6777898340896314,0.7269646031915723,29889.918084575525,6007.465754717553
"[0.49, 0.63)",0.56,5.004135981174471,4492,233,148,12,0.688407141018827,0.6724299878363355,0.6971548970627072,26170.585039678423,5229.790944557063
"[0.63, 0.77)",0.7,5.007994698290134,4419,248,139,27,0.6869391167751969,0.6740126078272102,0.7087681440743369,26525.820504523752,5296.695005204457
"[0.77, 0.95)",0.86,5.0415649660232695,4831,380,151,22,0.6855091766575607,0.6695962944332233,0.684580576068249,28074.516300355834,5568.611431085197
"[0.95, 1.18)",1.065,5.087553639696424,4510,501,152,29,0.6797687004981089,0.6639264005083327,0.6645166290142416,25384.879155495473,4989.604228921741
"[1.18, 1.80)",1.49,5.1464318338418815,4673,874,253,65,0.6609715397760642,0.6541534237058737,0.647083568156519,22244.877745113463,4322.38849426426
"[1.80, 2.50)",2.15,5.0138562071897335,404,119,25,9,0.6406276188872946,0.620942847528287,0.5818317456310419,1554.188001194162,309.9785747675609
