Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.333719807521354,35,2,44,11,0,1,0.6820308029278281,0.623568570102278,0.5826573739187637,258.5332590840898,59.656200808228164
"[4.50, 4.80)",4.65,4.662612849716463,51,10,43,8,0,1,0.6462853510323389,0.6551291352017738,0.683720246522438,317.6531247991436,68.12770758319776
"[4.80, 5.10)",4.949999999999999,4.973269058994969,44,6,49,10,2,0,0.6699724938042249,0.6368970200503788,0.6956025833628756,230.17041075157766,46.281511822747035
"[5.10, 5.40)",5.25,5.256819376086912,37,5,48,2,2,0,0.6569851409267513,0.6697914473774483,0.5753763169944679,166.12777600950724,31.60233672193812
"[5.40, 5.70)",5.550000000000001,5.537706225038062,31,1,28,4,0,0,0.6477988142543151,0.6787337455600144,0.0,241.672885174843,43.64133367749784
"[5.70, 6.00)",5.85,5.8167731521422565,18,3,16,6,0,0,0.7626504046153814,0.7467214333002828,0.0,115.696236633103,19.8901063539831
"[6.00, 6.30)",6.15,6.096973468529581,14,1,6,1,1,0,0.6969683646207616,0.6242721518934211,0.6914276923705318,87.9537407564758,14.425803426972724
"[6.30, 6.60)",6.449999999999999,6.479205402750307,4,1,5,1,0,0,0.5401036665047594,0.5664165526913548,0.0,33.59330345262797,5.184787541751372
"[6.60, 6.90)",6.75,6.784658228497353,2,0,1,0,0,0,0.6818700256976435,0.6659369359535843,0.0,20.226250716897688,2.981174590628914
"[6.90, 7.50)",7.2,7.281956753211956,6,0,3,0,0,0,0.7303220189653112,0.7104550671341311,0.0,61.04722145771055,8.383354025109197
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
