Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.338974265395219,91,9,0,0,0.6994645757145842,0.6578937451914606,0.0,508.6689192214219,117.23252734597386
"[4.50, 4.80)",4.65,4.667058894279833,49,3,0,0,0.6948201040567119,0.6774820034539328,0.0,308.97883910300544,66.20418685560288
"[4.80, 5.10)",4.949999999999999,4.947416949386082,33,0,0,0,0.6479294200090125,0.659881364333793,0.0,251.97923460161715,50.93147336872121
"[5.10, 5.40)",5.25,5.205677691669031,27,1,0,0,0.678776318382152,0.6579821437310914,0.0,199.39944325988392,38.304223786077884
"[5.40, 5.70)",5.550000000000001,5.563388137246106,20,0,0,0,0.731504277223307,0.6834593942859089,0.0,152.10815057333602,27.340920104961437
"[5.70, 6.00)",5.85,5.840362361290426,8,0,0,0,0.7273231191726873,0.6542537411346625,0.0,64.23953488989817,10.999237875319857
"[6.00, 6.30)",6.15,6.153241833432729,8,1,0,0,0.7529493090788749,0.7155790572851107,0.0,57.20530228883846,9.29677458441856
"[6.30, 6.60)",6.449999999999999,6.491613459286311,4,0,0,0,0.5589363767961368,0.7464044715129083,0.0,46.456904426201085,7.1564495818437965
"[6.60, 6.90)",6.75,6.712585003822663,1,0,0,0,0.7455146172726865,0.7212888288278475,0.0,9.00396162368927,1.3413553226606025
"[6.90, 7.50)",7.2,7.156030366453204,4,0,0,0,0.7490221164423765,0.6564909241326778,0.0,38.21532213463675,5.340296250528307
"[7.50, 8.70)",8.1,8.421201236974628,1,0,0,0,0.7293354772315936,0.5859697894611217,0.0,11.546402855568967,1.3711111432502814
