Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.313598484518443,99,13,3,0,0.7089311263828562,0.6585151763978601,0.6386491014000415,341.6456395541009,79.20200287075193
"[4.50, 4.80)",4.65,4.621975320880757,74,7,1,1,0.669786168780392,0.690262194643,0.0,462.34509002013357,100.03192529639682
"[4.80, 5.10)",4.949999999999999,4.97706370703035,57,3,2,0,0.6591405110070151,0.6627426954759021,0.6629427253605927,273.1510461202121,54.88196699880949
"[5.10, 5.40)",5.25,5.262316942680997,44,0,1,0,0.6725770254474924,0.677325406262322,0.8382809173264154,287.9895888322745,54.726766169570965
"[5.40, 5.70)",5.550000000000001,5.5605919663410734,27,4,0,0,0.7659608031208395,0.6685978328648875,0.0,166.97148823380186,30.027646201069995
"[5.70, 6.00)",5.85,5.806719204541518,14,0,0,0,0.6901268453231539,0.6638857549934736,0.0,117.79583625024044,20.286125796837332
"[6.00, 6.30)",6.15,6.498402621591838,8,0,1,0,0.7235566104518509,0.6796188604039107,0.7706502562808628,-3.7377031353455266,-0.5751726005597888
"[6.30, 6.60)",6.449999999999999,6.379697247793072,2,0,0,0,0.7574945788187571,0.6584630771823716,0.0,16.844205691192194,2.640282922049179
"[6.60, 6.90)",6.75,6.64735448907437,1,0,0,0,0.7154759047367132,0.7203702647486365,0.0,9.290815309175953,1.3976711072722825
"[6.90, 7.50)",7.2,7.028673931765856,7,0,0,0,0.6755988258556355,0.6797656083623413,0.0,72.82534492277875,10.361178456955736
"[7.50, 8.70)",8.1,7.898879972827408,2,0,0,0,0.7904524149069926,0.6961982499066945,0.0,19.985719124551775,2.5301965839845364
