Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.372683498568858,11,5,0,0,0.5713563614138922,0.7026538092144359,0.0,45.918979402782284,10.501327026712813
"[4.50, 4.80)",4.65,4.456640178889839,10,6,0,0,0.9668385537296394,0.6251115775023179,0.0,18.437991169045024,4.137195382382873
"[4.80, 5.10)",4.949999999999999,4.99463166573353,18,0,2,0,0.5569742652338682,0.8039054983775024,0.8179378825194242,49.1118447100703,9.832926228976998
"[5.10, 5.40)",5.25,5.227806308647156,7,1,0,0,0.7519496849480237,0.7393047570567141,0.0,41.714011561892036,7.97925728290548
"[5.40, 5.70)",5.550000000000001,5.278372881792995,2,1,0,0,0.8001717366439077,0.638525292473033,0.0,6.596550015539947,1.249731719085974
"[5.70, 6.00)",5.85,5.850211779035875,7,1,0,0,0.5756879170433102,0.6579336683664171,0.0,60.972741714803966,10.422313587569368
"[6.00, 6.30)",6.15,6.10105253601661,3,0,0,0,0.5184090654895983,0.6145462869221576,0.0,35.30639957224489,5.78693583833594
"[6.30, 6.60)",6.449999999999999,6.321020804276073,1,0,0,0,0.6735949247211813,0.5781461424701374,0.0,9.384008952995764,1.484571755664469
"[6.60, 6.90)",6.75,6.731982522395238,3,0,0,0,0.642542118320472,0.7092023132428814,0.0,31.431320984802518,4.668954632642044
"[6.90, 7.50)",7.2,7.3428587588768375,0,1,0,0,0.47020861187298263,0.27004400553589153,0.0,-15.616172425315687,-2.1267156210021305
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0.0,0.0,0.0,0.0,0.0
