Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.374578923006468,5,0,5,0,0,0,0.6768443617224583,0.6000374212256916,0.0,36.00982730694806,8.231609931087947
"[4.50, 4.80)",4.65,4.6030767852928545,3,0,4,0,0,0,0.7107909787401874,0.5471102802997355,0.0,24.88542505444582,5.406258947049603
"[4.80, 5.10)",4.949999999999999,5.022237876602016,2,0,3,1,0,0,0.696719546014806,0.6237435305043872,0.0,15.906027070028772,3.167119411872739
"[5.10, 5.40)",5.25,5.3856533800573105,1,0,5,0,0,0,0.7806695259529857,0.5590794729488948,0.0,9.160513659874724,1.700910365638355
"[5.40, 5.70)",5.550000000000001,5.652000278178473,1,0,1,0,0,0,0.5863635392641335,0.5978085655264538,0.0,9.322478462879051,1.649412244169864
"[5.70, 6.00)",5.85,5.800934002011903,0,0,2,0,0,0,0.701556016646086,0.0,0.0,-0.22655870239644216,-0.0390555559359693
"[6.00, 6.30)",6.15,6.051687086553495,1,0,0,0,0,0,0.0,0.8654872335766032,0.0,6.992231487395901,1.1554185448438405
"[6.30, 6.60)",6.449999999999999,6.3433107781200695,0,0,1,0,0,0,0.7782632532522947,0.0,0.0,-0.11166180560143156,-0.017603079764999963
"[6.60, 6.90)",6.75,6.75,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[6.90, 7.50)",7.2,7.2,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[7.50, 8.70)",8.1,8.1,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
