Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.218002104139426,13,2,1,0,0.7545536226640038,0.6313501064562907,0.8494287507208629,15.828759320906748,3.7526674786086183
"[4.50, 4.80)",4.65,4.925811348134153,13,1,1,0,0.686987032703504,0.6792718761106841,0.7588499161565849,26.35271940911202,5.349924620863558
"[4.80, 5.10)",4.949999999999999,4.928489254343376,11,0,0,1,0.618901562020842,0.7306757574181727,0.8042473127472193,143.94674171780323,29.20707224651975
"[5.10, 5.40)",5.25,5.292590210649814,4,1,0,0,0.6168312440834604,0.8170746355607715,0.0,25.740866378359236,4.8635668649658825
"[5.40, 5.70)",5.550000000000001,5.417953085729675,1,0,0,0,0.5825132732034809,0.6477602979632946,0.0,9.300995075930398,1.7166990796631763
"[5.70, 6.00)",5.85,5.820948027464256,1,0,0,0,0.6108116475574844,0.7907527042473406,0.0,9.529857609528374,1.637165898847547
"[6.00, 6.30)",6.15,6.153707060863488,2,0,0,0,0.6742653181242598,0.6290090469302762,0.0,18.25307307213279,2.9661914178884423
"[6.30, 6.60)",6.449999999999999,6.5790293897740835,1,0,0,0,0.7771412185660042,0.7534111819471372,0.0,8.465680667297296,1.2867674189836682
"[6.60, 6.90)",6.75,6.746045115857023,3,0,0,0,0.7571789894006148,0.0,0.0,26.728337197512097,3.962075073391576
"[6.90, 7.50)",7.2,7.2,0,0,0,0,0.0,0.0,0.0,0.0,0.0
"[7.50, 8.70)",8.1,7.683644219517744,1,0,0,0,0.5953320034697214,0.0,0.0,12.906486086311222,1.6797349952157579
