pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,5.103947220959294,119,4,106,8,2,1,0.695931021775039,0.6935151825384771,1.3466936176877353,820.6383127209355,160.78503111297755
"[0.32, 0.49)",0.405,4.9712200701377895,142,6,130,10,2,2,0.6640615863024215,0.6795276789250032,0.0,982.4469263304259,197.62692306301278
"[0.49, 0.63)",0.56,4.943646000789649,129,4,107,13,2,0,0.713338356925524,0.6607326931606629,0.5197856476949034,847.321749725419,171.39612132221362
"[0.63, 0.77)",0.7,4.9160376328528255,129,6,112,8,5,1,0.6630845588355228,0.6860309901049624,0.6876601717547891,752.1067724770735,152.99044243496127
"[0.77, 0.95)",0.86,4.91848606358234,132,13,129,10,1,2,0.6863752170393927,0.666043810314538,0.21026011848570836,963.9206603342553,195.97913827007807
"[0.95, 1.18)",1.065,4.780994917871371,105,12,110,16,4,0,0.6698390885723458,0.6675021489385842,0.7180686535483302,546.3465177399338,114.27464934080753
"[1.18, 1.80)",1.49,5.126466543426184,113,30,136,27,4,0,0.6458915220688751,0.6652415525825319,0.6553198002207162,497.8255433268501,97.10890320063166
