Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.341477748102246,712,97,653,76,37,6,0.5143557982111405,0.5029080199051708,0.535950267865857,4727.93688889181,1089.015575620189
"[4.50, 4.80)",4.65,4.642063035712372,577,46,494,37,19,2,0.5130423947732083,0.5005806797958029,0.49866178759581425,4542.541494928784,978.5609243093108
"[4.80, 5.10)",4.949999999999999,4.933969779004131,456,19,400,19,14,0,0.5138409350483331,0.4980357386817963,0.5174982228654015,4004.968983698653,811.7133187035884
"[5.10, 5.40)",5.25,5.242740928115989,263,11,244,6,9,1,0.5167167351567964,0.5085686136559145,0.5341418050509815,2403.2496372795504,458.3956503345995
"[5.40, 5.70)",5.550000000000001,5.526957708795704,186,3,180,4,4,0,0.5092726387192819,0.494351151207354,0.45739492562343254,1920.1164370083109,347.40928702106794
"[5.70, 6.00)",5.85,5.851285471690711,130,4,94,2,4,1,0.5198937076796516,0.5049867940985017,0.4612291066067831,1367.5981943871616,233.72611044253122
"[6.00, 6.30)",6.15,6.152833145321443,69,1,82,1,2,0,0.5342566825085624,0.5244888328869644,0.5876438120121935,741.6689085952153,120.54104037571267
"[6.30, 6.60)",6.449999999999999,6.42627072206954,56,3,47,0,0,0,0.5260438605365776,0.5236416988051265,0.0,642.1679404435889,99.92855393380981
"[6.60, 6.90)",6.75,6.707945929822595,28,1,24,0,0,0,0.5365980204060645,0.4828776367645133,0.0,370.7560575985546,55.27117562922275
"[6.90, 7.50)",7.2,7.133534362524103,27,0,20,1,1,0,0.4998766887703468,0.5291897053908813,0.49843765175909,330.93109586209425,46.390902327552375
"[7.50, 8.70)",8.1,7.776182265355674,6,0,8,0,1,0,0.5418625571919088,0.5185876852792346,0.5270158990055794,58.28502186707107,7.495326096809947
