Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.3360043774212045,624,83,31,4,0.5183035163797005,0.5087268673926755,0.48084389742835315,3455.6801314436416,796.9733954694191
"[4.50, 4.80)",4.65,4.639872963597425,542,44,16,0,0.5044446965466549,0.49711481894134485,0.554066783142041,3991.6445513611598,860.2917758046385
"[4.80, 5.10)",4.949999999999999,4.943528181501877,400,24,12,2,0.5105843056071566,0.497277633303832,0.5178695162124944,3220.8735549029593,651.5333657761078
"[5.10, 5.40)",5.25,5.23949384029879,283,11,4,1,0.5161711475640053,0.4992566505889105,0.37462818957678107,2576.5608518657878,491.757587736539
"[5.40, 5.70)",5.550000000000001,5.5170018199926325,147,3,9,0,0.5213559620757011,0.5140059616612057,0.555643402528824,1131.018273157985,205.00596339471488
"[5.70, 6.00)",5.85,5.834791307136599,110,2,2,0,0.521350602477787,0.49883161050933955,0.6180416392934205,1125.7068409395797,192.9300949569036
"[6.00, 6.30)",6.15,6.12543936104919,68,0,2,0,0.5339345429290078,0.516145086656073,0.5881986747343807,688.5642314736355,112.41058655353261
"[6.30, 6.60)",6.449999999999999,6.446169332742955,43,1,4,0,0.5473013675229647,0.5008584251169906,0.5190150589886253,276.30842455592233,42.86397242970786
"[6.60, 6.90)",6.75,6.726717114448548,20,0,0,0,0.5421447014911753,0.5054781911707455,0.0,248.15209282490943,36.89052008622378
"[6.90, 7.50)",7.2,7.174833347922877,19,0,0,0,0.5192690727625592,0.49170259784399417,0.0,262.52638711042425,36.58989336476031
"[7.50, 8.70)",8.1,7.764404714107513,8,0,0,0,0.5003732515412626,0.5040116187470034,0.0,124.13780617075584,15.988064860298175
