Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.427673163020981,32,4,32,9,0,1,0.5114792311350532,0.4919060398841215,0.367010966967698,273.7197085134686,61.820215367186435
"[4.50, 4.80)",4.65,4.661410786506381,97,17,99,16,6,1,0.5111961939525655,0.5009943482962225,0.4849731144140512,635.6366619078988,136.36143455708904
"[4.80, 5.10)",4.949999999999999,4.962527036502842,163,19,138,33,8,3,0.514888806786377,0.4966820977608861,0.3760259063205476,1289.8840755868048,259.9248459703714
"[5.10, 5.40)",5.25,5.236122673331139,139,20,136,13,5,2,0.48190726666731337,0.4840553408432188,0.4147671089563416,1190.9292738398728,227.44487632147516
"[5.40, 5.70)",5.550000000000001,5.54213155217507,114,16,87,8,6,1,0.5095294262903522,0.4942354428372958,0.5009464078963607,973.971431253219,175.7395006026108
"[5.70, 6.00)",5.85,5.8222751776315524,71,4,78,6,5,0,0.5082268787388162,0.4926326612830046,0.4946059675480578,660.1846738907939,113.38946610203863
"[6.00, 6.30)",6.15,6.13904805302789,58,2,52,4,0,0,0.4750115243558191,0.5085612248754996,0.0,667.0717561404906,108.66045523319836
"[6.30, 6.60)",6.449999999999999,6.447514053888231,29,2,28,0,1,0,0.5139009789287015,0.5021727897665903,0.42629259413674114,310.81966938182495,48.20767613439825
"[6.60, 6.90)",6.75,6.755410216331338,26,0,10,0,0,0,0.5247187385305458,0.5014569046615086,0.0,348.4081180395055,51.574679683732896
"[6.90, 7.50)",7.2,7.06150914376074,11,1,11,1,0,0,0.45219446696584786,0.5250656208796551,0.0,132.24096854414748,18.727012293256063
"[7.50, 8.70)",8.1,7.813094493842021,1,0,7,0,0,0,0.49118658985443764,0.4386004694534265,0.0,16.21142328675784,2.074904290423603
