Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.360990833167077,71,19,84,27,1,3,0.5290385147467151,0.5162059052938314,0.45186141309199723,471.83085212070216,108.19349780151798
"[4.50, 4.80)",4.65,4.65242926838371,202,22,167,34,8,3,0.5068694077872938,0.4909100244427361,0.5638335373917929,1604.3461417102847,344.8405229097974
"[4.80, 5.10)",4.949999999999999,4.952684741771098,229,32,232,41,12,3,0.4920935185512574,0.49650750998860466,0.4522901876628468,1736.8294231430207,350.6844294962986
"[5.10, 5.40)",5.25,5.254581196693279,202,22,205,21,10,1,0.4843937872407302,0.4956332800764571,0.5121743075242114,1691.6567765923892,321.9394112050172
"[5.40, 5.70)",5.550000000000001,5.547478350894533,127,18,113,6,4,3,0.47759084966603266,0.5400187101621496,0.6467560205287417,1084.386812435208,195.47382501463034
"[5.70, 6.00)",5.85,5.8387252004060874,117,6,94,2,2,1,0.49005090080098024,0.49718144055427965,0.6736852465359977,1270.1313905086633,217.53573715377541
"[6.00, 6.30)",6.15,6.1268479303838,60,4,67,1,4,0,0.4868184753361783,0.5214129197246933,0.4916667303305358,544.618298168704,88.89045466068681
"[6.30, 6.60)",6.449999999999999,6.4485894827998935,34,1,35,0,2,0,0.5322877197081659,0.48496502846921713,0.63115956377461,391.1085939941709,60.650254607982376
"[6.60, 6.90)",6.75,6.7422963242608915,20,0,16,0,0,0,0.5172096253393974,0.48461597402666906,0.0,275.251770447672,40.824632619190886
"[6.90, 7.50)",7.2,7.06438493295876,16,0,13,0,1,0,0.48424400592130107,0.4954566723680035,0.4731476687167734,195.0145720478121,27.60531509798895
"[7.50, 8.70)",8.1,7.776578776537075,8,0,3,0,0,0,0.5127636927567082,0.46146696049382574,0.0,134.16020022296965,17.251828095376336
