Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.339220857738993,187,22,153,8,5,0,0.6593576948678473,0.6792636661189396,0.7489000768916573,981.0794221442114,226.0957564292811
"[4.50, 4.80)",4.65,4.642206325443917,122,11,119,9,7,0,0.6864769213080982,0.6844914137766951,0.6699852805634711,642.1087429571375,138.31973375197515
"[4.80, 5.10)",4.949999999999999,4.963596847699311,83,4,79,7,4,0,0.6756756034535646,0.6710360196066638,0.7087115830529607,519.0885629728989,104.57911448096414
"[5.10, 5.40)",5.25,5.220790320677484,60,2,65,0,1,0,0.6876259357599063,0.667578800690858,0.8420243088405758,434.0902817938941,83.14646923754711
"[5.40, 5.70)",5.550000000000001,5.527126257066984,40,1,34,0,0,0,0.6907900911553077,0.6791113321861494,0.0,313.76046602188796,56.76737809647714
"[5.70, 6.00)",5.85,5.773780417818644,17,1,25,3,2,0,0.7124863069835762,0.6307781788472155,0.6768280400230304,108.63658410506538,18.815503230742657
"[6.00, 6.30)",6.15,6.121919028964186,16,0,15,0,1,0,0.6461962754751608,0.6541433919703112,0.7457172167526905,130.78582404023948,21.36353379086886
"[6.30, 6.60)",6.449999999999999,6.414962379353283,12,0,8,0,0,0,0.6126773676824061,0.6756486574580789,0.0,112.8100270992203,17.585454197253316
"[6.60, 6.90)",6.75,6.7286921407681275,4,0,6,0,0,0,0.6325610438243486,0.6421029045398566,0.0,41.05996497701434,6.102220776046243
"[6.90, 7.50)",7.2,7.204084378643534,3,0,2,0,0,0,0.5567549705854916,0.6938434909210301,0.0,30.801255973287304,4.275526819840901
"[7.50, 8.70)",8.1,7.662161106736005,2,0,2,0,0,0,0.8155360205556538,0.5555675075622734,0.0,27.33098204643873,3.5670069665347226
