Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.3353885819972255,219,22,9,3,0.6774265158811393,0.6618777696116347,0.8314027863754226,1107.616824210164,255.4827100872945
"[4.50, 4.80)",4.65,4.631695900768202,192,7,3,0,0.6832671313251808,0.685501983617256,0.6107345541882427,1142.706773431275,246.71455076352237
"[4.80, 5.10)",4.949999999999999,4.958432997462331,122,3,3,0,0.6658606116949023,0.6711276410146452,0.6523141164448657,774.5333118887991,156.20525925936607
"[5.10, 5.40)",5.25,5.233522496519943,92,4,2,0,0.6873962236388315,0.6538074230965106,0.711205890617047,597.955008575394,114.2547890016728
"[5.40, 5.70)",5.550000000000001,5.5490564011270465,48,1,1,0,0.7023114442247003,0.6677537282318543,0.6327217566114993,328.42599921066966,59.185918374151754
"[5.70, 6.00)",5.85,5.861700900625523,22,1,0,0,0.6659974524009385,0.6584127397105678,0.0,184.8291137892084,31.53165214715828
"[6.00, 6.30)",6.15,6.178027027937727,18,1,1,0,0.6464563012266297,0.6485735275327198,0.8063106653307519,124.96118593965124,20.226714026106205
"[6.30, 6.60)",6.449999999999999,6.429246145716677,10,0,0,0,0.6633873838377213,0.7190390750440376,0.0,96.91541175418867,15.074148594972696
"[6.60, 6.90)",6.75,6.196534444132782,5,0,1,0,0.48893929335403385,0.6830502477721806,0.5706150867444887,10.213534888524414,1.6482656524559705
"[6.90, 7.50)",7.2,7.100892316295708,5,0,0,0,0.6586967848979768,0.6009913305541048,0.0,53.901070106145575,7.5907460225032555
"[7.50, 8.70)",8.1,7.575830248474142,1,0,0,0,0.5739330363902141,0.5510726765029983,0.0,13.199850449667048,1.7423635452134962
