Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.314553880235519,0,1,0,0,0,0,0.0,0.7351094204966022,0.0,-5.869267567433469,-1.360341701680889
"[4.50, 4.80)",4.65,4.809762056642017,7,2,10,4,1,1,0.5659359218169969,0.5511957568571993,0.0,42.94583350160855,8.92888941196222
"[4.80, 5.10)",4.949999999999999,4.964323080645677,26,5,24,6,0,1,0.6652495829135837,0.5779530593293148,0.3602377103754763,207.1900855424119,41.735818192450125
"[5.10, 5.40)",5.25,5.246957588667291,28,3,23,7,2,0,0.7797073770478535,0.6853270086055434,0.6574629737147725,156.81709007267207,29.887241782052037
"[5.40, 5.70)",5.550000000000001,5.527550243852646,21,4,28,3,3,1,0.6071712956350979,0.7115232124525729,0.6496953902007757,93.68079724451056,16.947977514758147
"[5.70, 6.00)",5.85,5.870001028499645,26,4,26,1,2,1,0.59572445138073,0.6763904380235313,0.7902042225488662,172.19479022419873,29.334712104507283
"[6.00, 6.30)",6.15,6.13448658894615,10,1,15,0,0,0,0.6318727532437031,0.5886075608753775,0.0,91.84369908129541,14.971701013543715
"[6.30, 6.60)",6.449999999999999,6.410157147572587,9,1,6,2,0,0,0.696640825380836,0.7188143792259095,0.0,70.84743736676995,11.052371374951178
"[6.60, 6.90)",6.75,6.722694214127114,4,0,4,0,0,0,0.5782116430280643,0.6548935564539083,0.0,40.437083218838836,6.015011531219742
"[6.90, 7.50)",7.2,7.234011837843149,3,0,4,0,0,1,0.6339171889381479,0.7321017896703571,0.30591074678099983,78.13136193014276,10.800557654801676
"[7.50, 8.70)",8.1,7.800247820394724,3,0,4,0,0,0,0.6585328963446414,0.6156335195510202,0.0,37.37490925586163,4.791502797916273
