Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.34760452782803,188,19,165,26,9,2,0.6558353673631436,0.6537196949826186,0.6939603338951253,1020.5202738431888,234.7316245787928
"[4.50, 4.80)",4.65,4.656607879593596,139,20,111,15,7,0,0.6518197318128244,0.6650431598040843,0.7670635643063202,735.7940824229278,158.01074547147482
"[4.80, 5.10)",4.949999999999999,4.943038419322613,138,10,126,8,10,0,0.6680298773058213,0.666301386039901,0.6488892501572975,779.6941086636914,157.73579780724012
"[5.10, 5.40)",5.25,5.251999016097806,70,5,85,5,2,1,0.7035607195536959,0.6738587366208973,0.6074704776817883,480.63762568320203,91.51517816549631
"[5.40, 5.70)",5.550000000000001,5.518223157389199,65,2,55,0,1,0,0.6810679947191116,0.6600299204174085,0.6485893763823876,503.0687130028525,91.16498167153973
"[5.70, 6.00)",5.85,5.851156793231339,40,0,45,3,1,0,0.6978130596687775,0.6564497193494852,0.6276456245412819,332.45003427980396,56.81783039285233
"[6.00, 6.30)",6.15,6.122948713745758,19,0,28,1,0,0,0.6956271838101616,0.6475596738928895,0.0,176.46318702038673,28.819968167336505
"[6.30, 6.60)",6.449999999999999,6.418325058271599,16,0,18,0,0,0,0.6487211213816338,0.6488163499243197,0.0,155.8874719293646,24.287874252873035
"[6.60, 6.90)",6.75,6.698070792377926,10,0,13,0,0,0,0.6749419354236742,0.6203029804522439,0.0,106.24905665848226,15.862635668077505
"[6.90, 7.50)",7.2,7.2784971828534335,8,0,3,0,1,0,0.6230774356074327,0.6615944999841109,0.6108933341912625,62.80243492073643,8.628489280546182
"[7.50, 8.70)",8.1,7.963981600585189,4,0,3,0,0,0,0.6681938951298712,0.6330951589840939,0.0,49.83783953662104,6.257904906882128
