pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.979266289583835,4990,150,4457,144,115,5,0.6916867461481233,0.6784546054475777,0.7106434835963346,33332.04232069904,6694.167450017001
"[0.32, 0.49)",0.405,4.992088946386297,5544,221,4910,169,135,15,0.692447749625305,0.6791349365204467,0.7294377049519691,36779.003777338876,7367.457625922847
"[0.49, 0.63)",0.56,5.008288441303349,5154,209,4534,234,148,12,0.6901463653564224,0.6737968357233997,0.6971548970627072,34097.472158795776,6808.2085443789465
"[0.63, 0.77)",0.7,5.022287536892219,4842,273,4442,249,140,27,0.6877704417830447,0.6745962570671666,0.7102979332026922,31768.53737486504,6325.511460963334
"[0.77, 0.95)",0.86,5.032150875886995,5498,387,4861,381,155,23,0.6861963466111541,0.6703564205727086,0.6849824299043574,35701.090555431096,7094.598599279522
"[0.95, 1.18)",1.065,5.075820392152164,4906,552,4541,506,154,29,0.6805378248698435,0.664527940155352,0.6634791231398065,30661.275907240244,6040.654226979013
"[1.18, 1.80)",1.49,5.170698283611108,4877,929,4692,877,254,65,0.6619564274179797,0.6548607587661562,0.648192026286339,27333.730881121344,5286.274576831824
"[1.80, 2.50)",2.15,5.164901101424992,366,115,405,119,25,9,0.6414642759144699,0.6229997551112613,0.5818317456310419,1726.444166294146,334.26470950582603
