recoeff,recoeff_error,hodoeff,hodoeff_error
0.6627017437482171,0.007524116272524276,0.9464543563284743,0.02606904190232494
0.6149870260825837,0.006742717138110732,0.9875119583481756,0.004493284535736448
0.7718379575516489,0.012353753399139857,0.9831725801147907,0.004575549448907017
0.8841045680106785,0.02608135598148904,0.9487798442867454,0.016377975832411365
0.7017467882417192,0.00741529062901217,0.9648494311480494,0.01615891180180383
0.8842323239643263,0.032768669097002885,0.9698748536413555,0.009221101640858095
0.8663092030029657,0.020461343190300792,0.9778530821545712,0.0061199347964888875
0.7386326091640566,0.009409695827930444,0.9745095718977901,0.0056426156382415864
0.8615261716520889,0.018602519019749273,0.9490355627251001,0.011271459910675144
0.6498050210329043,0.006670371124679758,0.9837694637672298,0.003398394076475332
0.7552352833578527,0.008962254514771083,0.9733224481466325,0.0031781730542678184
0.563081975866757,0.006847619442902711,0.9688020842515472,0.005285427036588363
0.5937760726168332,0.006349686336764097,0.9767210774280648,0.009600024720996334
0.5914193000095276,0.006496774083757972,0.9819791402683536,0.005193243782566285
0.6810920069967656,0.008551057957961112,0.9713649185263119,0.010242452500561956
0.6514171113723184,0.006634046543433876,0.946908219949793,0.020355602251086333
0.6675380147664594,0.008400970509406108,0.9504716568911669,0.016108442580774273
0.8806582970555957,0.026996369185292367,0.9560301877309227,0.015609260998102073
0.7943624081675501,0.01050160588476354,0.9662075643158633,0.0094590549038253
0.6530292017117325,0.006640645907331733,0.935476288946922,0.017055188761358267
0.4006907197131289,0.008708660117232892,0.959907276229415,0.015233895207392954
0.7943624081675501,0.01050160588476354,0.9628413977308116,0.016906677548298076
0.6401324789964198,0.007705974033388853,0.9755029790043122,0.009111025232054811
0.8843345287272445,0.0411956561892164,0.9479140343702869,0.010789081746756668
0.5394018856160624,0.00593076316851245,0.9688118881121764,0.00749474021621567
0.6994518125478355,0.00735488577417158,0.952107318362028,0.01579120866717867
0.5322978585408541,0.006347491232853447,0.9572035873856813,0.008224802159850495
0.5417698946411319,0.005861200122788069,0.9600594971014023,0.01647794299588082
0.8663092030029657,0.020461343190300792,0.9787459556015766,0.0037254363639713955
0.6514171113723184,0.006634046543433876,0.9348451256988015,0.025718467313659937
0.7155166424050217,0.008694933964590226,0.9840760820803254,0.0047875940374491575
0.8400025305731438,0.014479717555839197,0.9749623230360803,0.006175862888447602
0.6369082983175915,0.008301314323872535,0.9638053933093805,0.007509328869411596
0.8639176873275273,0.01950480061983124,0.9840220670808436,0.0039067258579911085
0.39504295305598713,0.0067072590470853505,0.9320093589967028,0.012625307241539756
0.7607695080891181,0.009771069078433224,0.9802143866488082,0.004437792354247277
0.8734837500292807,0.02358875211839213,1.0,0.0
0.7776018968583606,0.012955675268782288,1.0,0.0
0.3961546592306628,0.006968640170721761,1.0,0.0
0.5085961132917483,0.006915804482281056,1.0,0.0
0.3121743341424157,0.014270688688650337,1.0,0.0
0.7922673442539014,0.010584939861505657,1.0,0.0
0.8069327916494423,0.011505275495998932,1.0,0.0
0.8027426638221449,0.010899238097070404,1.0,0.0
0.768148474397472,0.011383852573809436,1.0,0.0
0.747856317049499,0.008604391588774338,1.0,0.0
0.7589247665120297,0.009456701383463032,1.0,0.0
0.8840534656292193,0.025352976888525936,1.0,0.0
0.8447855619240205,0.014596264902366856,1.0,0.0
0.6833869826906493,0.008258245054179113,1.0,0.0
0.6267708891191117,0.008096424516475631,1.0,0.0
0.8174081112176858,0.013910743715736659,1.0,0.0
0.7552352833578527,0.008962254514771083,1.0,0.0
0.6971568368539518,0.007343631648435252,1.0,0.0
0.685681958384533,0.008000212618907704,1.0,0.0
0.5104072354981537,0.007179564801982864,1.0,0.0
0.7589247665120297,0.009456701383463032,1.0,0.0
0.6220573439045005,0.007485997977896838,1.0,0.0
0.7838870885993067,0.01160208698949252,1.0,0.0
0.6994518125478355,0.00735488577417158,1.0,0.0
0.7718379575516489,0.012353753399139857,1.0,0.0
0.512218357704559,0.007464440516429288,1.0,0.0
0.694861861160068,0.007381753058933953,1.0,0.0
0.8842067727735967,0.03099682082349177,1.0,0.0
0.6481929306934903,0.00674892660117928,1.0,0.0
0.6833869826906493,0.008258245054179113,1.0,0.0
0.6126302534752781,0.006551598682965479,1.0,0.0
0.7699932159745604,0.011857768077764988,1.0,0.0
0.8174081112176858,0.013910743715736659,1.0,0.0
0.6197005712971949,0.0072126690355091465,1.0,0.0
0.8132179833903883,0.012821554109927896,1.0,0.0
0.7533905417807643,0.008789732692101615,1.0,0.0
0.8400025305731438,0.014479717555839197,1.0,0.0
0.7312536428557028,0.01086460954138055,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7017467882417192,0.00741529062901217,1.0,0.0
0.6079167082606669,0.00627045844465192,1.0,0.0
0.6810920069967656,0.008551057957961112,1.0,0.0
0.6562533823905607,0.006781300236582874,1.0,0.0
0.6643138340876312,0.007790770417294055,1.0,0.0
0.7901722803402527,0.010740206439513728,1.0,0.0
0.7817920246856579,0.012005620855207387,1.0,0.0
0.8615261716520889,0.018602519019749273,1.0,0.0
0.6126302534752781,0.006551598682965479,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.809027855563091,0.011895004664911614,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7201065937927891,0.009396160298104833,1.0,0.0
0.6197005712971949,0.0072126690355091465,1.0,0.0
0.60084639043875,0.0061321619213519415,1.0,0.0
0.47599591357645193,0.007650404742816878,1.0,0.0
0.8328279835468287,0.015278171095948383,1.0,0.0
0.7552352833578527,0.008962254514771083,1.0,0.0
0.3933753937939736,0.006630713959486286,1.0,0.0
0.8352194992222671,0.014888137232855696,1.0,0.0
0.8423940462485822,0.014471824090353653,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7349431260098797,0.010064942535190623,1.0,0.0
0.4850515246084787,0.006387792950306654,1.0,0.0
0.4977293800533162,0.005920635669216489,1.0,0.0
0.7269915208744403,0.010619206250199258,1.0,0.0
0.7269915208744403,0.010619206250199258,1.0,0.0
0.809027855563091,0.011895004664911614,1.0,0.0
0.32705402841579,0.011931967005810533,1.0,0.0
0.6267708891191117,0.008096424516475631,1.0,0.0
0.7497010586265874,0.008609075160045814,1.0,0.0
0.8423940462485822,0.014471824090353653,1.0,0.0
0.7330983844327912,0.01044865574670934,1.0,0.0
0.6401324789964198,0.007705974033388853,1.0,0.0
0.4468601916762719,0.006307216574843401,1.0,0.0
0.4977293800533162,0.005920635669216489,1.0,0.0
0.8195031751313344,0.014505097254372006,1.0,0.0
0.8841812215828672,0.02941014552999478,1.0,0.0
0.7017467882417192,0.00741529062901217,1.0,0.0
0.5299298495157846,0.006548395899988289,1.0,0.0
0.5559779487915486,0.006223133655831558,1.0,0.0
0.7964574720811988,0.01049191866271363,1.0,0.0
0.7312536428557028,0.01086460954138055,1.0,0.0
0.644968750014662,0.00702630590725174,1.0,0.0
0.6994518125478355,0.00735488577417158,1.0,0.0
0.6336841176387634,0.008984716518105423,1.0,0.0
0.8844622846808924,0.05349555664242157,1.0,0.0
0.7985525359948474,0.010556080952227794,1.0,0.0
0.7736826991287373,0.012869257057201058,1.0,0.0
0.512218357704559,0.007464440516429288,1.0,0.0
0.768148474397472,0.011383852573809436,1.0,0.0
0.685681958384533,0.008000212618907704,1.0,0.0
0.8615261716520889,0.018602519019749273,0.9678092830257888,0.01448466149544185
0.7626142496662066,0.010124839540056848,0.9616392996243471,0.008408377717781801
0.694861861160068,0.007381753058933953,0.9735555111004291,0.0070469212238914065
0.8423940462485822,0.014471824090353653,0.9579545464913248,0.009247349753667753
0.7964574720811988,0.01049191866271363,0.973037277662142,0.005680728965225614
0.8447855619240205,0.014596264902366856,0.9898418746320868,0.00225731512622168
0.3071593746645109,0.01917619411310385,0.9473557304483292,0.026192296359792974
0.7552352833578527,0.008962254514771083,0.9296786977209589,0.026302368228241745
0.4886737690212894,0.0060738322149832226,0.9383924650454101,0.011103239408430068

average recoeff,0.6973493881827305
propagated recoeff_error (without correlations),0.0011320197734930716
propagated recoeff_error (with correlations),0.006635732366406144
average hodoeff,0.9880102032894655
propagated hodoeff_error,0.0006327898468509412
total_eff = average recoeff (with correlations) * average hodoeff,0.688988310782204
total_eff_error = propagated error of total_eff,0.0065710049517108396
