pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.984851998550723,5148,163,4650,151,113,5,0.6914916057460359,0.6789623525992545,0.7058454536653566,34930.991645567505,7007.428035119841
"[0.32, 0.49)",0.405,4.998568116012983,5736,231,5117,191,134,16,0.6926412872450457,0.6790089231915324,0.730383644342666,38743.57055996916,7750.933799592244
"[0.49, 0.63)",0.56,5.014796760945892,5320,220,4719,249,150,14,0.6900586902046474,0.6742489513403089,0.6896373519073958,35891.693657041724,7157.158179681011
"[0.63, 0.77)",0.7,5.022515353666105,5011,285,4598,269,136,22,0.6879783122120215,0.6750458665080035,0.7114252419879249,33436.01974517188,6657.225989516546
"[0.77, 0.95)",0.86,5.04204730421706,5641,410,5051,395,152,24,0.686386543172132,0.670430476054431,0.6942524841357897,37375.529178394754,7412.768449660253
"[0.95, 1.18)",1.065,5.082416868451484,5060,570,4714,528,148,31,0.6808010775289105,0.664958963012225,0.6568765321989766,32431.075171803674,6381.034065331364
"[1.18, 1.80)",1.49,5.175050471206005,5020,956,4843,901,240,61,0.6620759715163073,0.6550961702342887,0.6550763709298394,29388.093067934016,5678.803179108967
