pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.978754341660905,4966,147,4419,141,114,5,0.6905445913782814,0.6776591427320195,0.7090682538235992,33230.917889634635,6674.54459674121
"[0.32, 0.49)",0.405,4.9928701361092624,5501,218,4872,169,133,15,0.6912397194214087,0.6777898340896314,0.7269646031915723,36595.60639443307,7329.573050532116
"[0.49, 0.63)",0.56,5.009369575230703,5111,209,4492,233,148,12,0.688407141018827,0.6724299878363355,0.6971548970627072,33862.37420644481,6759.807536237792
"[0.63, 0.77)",0.7,5.02237413796939,4827,272,4419,248,139,27,0.6869391167751969,0.6740126078272102,0.7087681440743369,31708.1287517384,6313.374487978389
"[0.77, 0.95)",0.86,5.031348161123793,5468,384,4831,380,151,22,0.6855091766575607,0.6695962944332233,0.684580576068249,35587.25316106583,7073.104866016096
"[0.95, 1.18)",1.065,5.075411474139777,4871,549,4510,501,152,29,0.6797687004981089,0.6639264005083327,0.6645166290142416,30484.55284086887,6006.321457125926
"[1.18, 1.80)",1.49,5.1717792833549385,4846,921,4673,874,253,65,0.6609715397760642,0.6541534237058737,0.647083568156519,27204.719671482188,5260.224418129936
"[1.80, 2.50)",2.15,5.158929733472122,364,115,404,119,25,9,0.6406276188872946,0.620942847528287,0.5818317456310419,1714.7891671533343,332.3924255117209
