Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.346102122501005,329,71,15,10,0.6651499337995498,0.6567220319125091,0.8302514921559414,1557.4449733099723,358.35443563248026
"[4.50, 4.80)",4.65,4.649553621603237,427,81,31,6,0.6705801096014151,0.6674562110404993,0.613505698332277,1470.0544857944064,316.17110058997645
"[4.80, 5.10)",4.949999999999999,4.949888277725255,433,63,13,10,0.6798687149218262,0.6633579876569434,1.0492209852880447,2624.4473371109575,530.2033480070858
"[5.10, 5.40)",5.25,5.244988245715368,349,40,14,3,0.6703174426616186,0.6722188283467622,0.6508719272071789,1983.1855422908188,378.11057897239016
"[5.40, 5.70)",5.550000000000001,5.552264086548965,247,19,7,0,0.6671000828208171,0.6819690560959459,0.659693150013864,1608.771976666398,289.75062273493864
"[5.70, 6.00)",5.85,5.837827575706674,157,16,5,1,0.701491578440777,0.6620220670179965,0.5940768831710914,980.677833356777,167.98677601197653
"[6.00, 6.30)",6.15,6.1476912778110275,97,4,4,0,0.6896778565730235,0.6872626433743537,0.6289069515696923,637.2722386555045,103.6604165462281
"[6.30, 6.60)",6.449999999999999,6.472913008529333,75,2,2,1,0.6851780996297591,0.6697993317392806,0.6364703108228762,639.7697810105007,98.83800078380142
"[6.60, 6.90)",6.75,6.7554809163175085,27,1,1,0,0.7072885807090332,0.7071456605136527,0.7386326091640566,203.48840506200233,30.121971711960107
"[6.90, 7.50)",7.2,7.1195761826816,24,1,1,0,0.6542845806258527,0.6618551678276273,0.747856317049499,203.5959651684196,28.596641140475143
"[7.50, 8.70)",8.1,7.744469874543885,9,0,0,0,0.7039485631415712,0.7425546586115214,0.0,99.01324119455236,12.785025030571742
