Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.461532932359096,7,2,3,2,0,0,1.5551024835303013,0.4996339376015902,0.0,44.60701646088271,9.998136769842501
"[4.50, 4.80)",4.65,4.683604824484261,43,11,61,12,6,2,0.6435289793761386,0.6067184072305705,0.6357885129826012,175.48795083857445,37.468564794618096
"[4.80, 5.10)",4.949999999999999,4.958263253528824,132,15,131,34,4,3,0.6760612755605365,0.6124293506663914,1.0065744042333589,925.964968666631,186.75187688100596
"[5.10, 5.40)",5.25,5.239770859005077,147,31,148,29,9,1,0.6865114623631289,0.6736963724703782,0.6062131852244348,733.3107879644845,139.9509268051704
"[5.40, 5.70)",5.550000000000001,5.543057794228234,128,24,130,21,6,1,0.6676034675377461,0.6823520071832777,0.6237027229465429,731.7087736789592,132.0045362761432
"[5.70, 6.00)",5.85,5.832927573710967,109,11,89,7,7,1,0.6698403602793292,0.671499336381539,0.6983562510703917,728.0660000639926,124.81999662491775
"[6.00, 6.30)",6.15,6.128907059713984,54,2,70,2,2,1,0.6857252465045076,0.6586934153901102,0.6017432076962068,452.1896613914977,73.7798202821173
"[6.30, 6.60)",6.449999999999999,6.422504921675906,48,2,37,3,1,0,0.6541308947062787,0.6491554831124843,0.8069327916494423,432.38976493797884,67.3241624897268
"[6.60, 6.90)",6.75,6.72238317880019,24,1,11,2,0,0,0.5674831346269088,0.6851774111045323,0.0,224.1329805812967,33.34129796232471
"[6.90, 7.50)",7.2,7.145987391850744,14,0,12,0,1,1,0.6374208634543488,0.6853663942394547,0.0,144.04872052477725,20.157986940901946
"[7.50, 8.70)",8.1,7.698061405812359,6,0,10,0,0,0,0.6496516997171886,0.688709071063872,0.0,65.37170496431558,8.491969798390697
