Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.343233164268159,1072,109,1008,68,23,6,0.568821807125678,0.5646916545915582,0.5741757762993567,7009.053255483218,1613.7870085232355
"[4.50, 4.80)",4.65,4.646044911288252,838,45,666,41,30,0,0.58747106391117,0.5626951408256724,0.5795995387650179,5925.911954825427,1275.474531128089
"[4.80, 5.10)",4.949999999999999,4.936411424231608,538,24,478,17,14,2,0.5771720437252286,0.5631323983652478,0.660178254152822,4243.542504923754,859.6411725516366
"[5.10, 5.40)",5.25,5.251627449465057,369,11,367,12,6,0,0.5814482668394257,0.5717219058833466,0.5193783524534284,3103.413940178853,590.9432780680156
"[5.40, 5.70)",5.550000000000001,5.536678207944772,246,7,234,3,9,0,0.5860039212372257,0.5647389840257093,0.5299906122096003,2096.477433124757,378.6525700764854
"[5.70, 6.00)",5.85,5.849707306475121,160,2,126,2,5,0,0.5903637888921559,0.5765001650343179,0.5876366098637029,1471.5777585929789,251.56434014468883
"[6.00, 6.30)",6.15,6.1392645570663475,105,2,72,1,2,0,0.5965487928591114,0.5647931846935498,0.6150325591311301,1063.3803192905375,173.2097239671122
"[6.30, 6.60)",6.449999999999999,6.413790257057129,51,0,56,0,1,0,0.581645143369155,0.5796123950815035,0.6484227477300456,532.815437584193,83.07341154443478
"[6.60, 6.90)",6.75,6.738347127202533,45,0,24,0,0,0,0.5879207541742411,0.5563911107342001,0.0,541.0278572797703,80.29088544513458
"[6.90, 7.50)",7.2,7.127265452162478,35,2,23,0,0,0,0.5825085122936473,0.5496288618606818,0.0,423.8747886295797,59.47228870239037
"[7.50, 8.70)",8.1,7.922457572730791,13,0,13,0,0,0,0.5391538687855222,0.6253088556238512,0.0,161.9566511027211,20.44272873864016
