Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.349128766890392,109,27,128,36,2,4,0.6386362787966459,0.6762989666906066,0.5133634969081703,556.5751445457767,127.97394015623165
"[4.50, 4.80)",4.65,4.656763957115593,307,40,273,53,9,3,0.6623335947313032,0.6627076403638855,0.7182208842472523,1766.3519446106775,379.30888507064435
"[4.80, 5.10)",4.949999999999999,4.952958098729794,368,38,370,56,15,4,0.651720067724705,0.6523605223830553,0.5808415524266212,2259.8749923012297,456.26773884495077
"[5.10, 5.40)",5.25,5.2551975913235465,330,46,325,39,12,2,0.6654937628598065,0.6736586609432105,0.678897557499863,2008.6610828633407,382.2237029069443
"[5.40, 5.70)",5.550000000000001,5.553162411578472,216,23,188,21,5,5,0.661142565991151,0.6995823267127816,0.0,1511.9542665371353,272.26905220432155
"[5.70, 6.00)",5.85,5.839596054954041,163,10,146,6,3,1,0.6771844114206133,0.6835235706812545,0.7191892582075252,1253.265627446195,214.61512331541886
"[6.00, 6.30)",6.15,6.126972439880814,95,6,99,3,4,1,0.676960488702802,0.6926398559176153,0.7685590280450518,720.9348593431042,117.66575848301487
"[6.30, 6.60)",6.449999999999999,6.426874563152278,73,1,58,2,2,0,0.7197218176170654,0.6514251455509084,0.8703599761791214,669.8960512268744,104.23356557597123
"[6.60, 6.90)",6.75,6.746505974720306,32,0,27,1,0,0,0.6905472748599379,0.675584991510526,0.0,315.9272504141417,46.82827697743784
"[6.90, 7.50)",7.2,7.0894953222752,25,0,35,0,2,0,0.6518556233204702,0.6805136553861091,0.7109375287839608,210.0360221804175,29.626371502141225
"[7.50, 8.70)",8.1,7.7558272582020455,10,0,3,0,0,0,0.7224007274277072,0.6806094438953698,0.0,113.4938556859991,14.633365585337858
