Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.349849767113299,4.3414750012154,712,97,653,76,37,6,3774.704309835236,867.7780870441997,4722.440057058507,1087.7501438420018
"[4.50, 4.80)",4.65,4.642912211321801,4.642062451996015,577,46,494,37,19,2,3440.7783142890366,741.0819239482182,4545.095880584355,979.1113169169091
"[4.80, 5.10)",4.949999999999999,4.933800245470632,4.933969291205359,456,19,400,19,14,0,3065.366910891911,621.2993551382638,4005.2283748640816,811.7659714670847
"[5.10, 5.40)",5.25,5.230805957327758,5.24273935861652,263,11,244,6,9,1,2063.896426966966,394.5656642215306,2404.1458825780933,458.56673737305744
"[5.40, 5.70)",5.550000000000001,5.513583159457477,5.526957294110842,186,3,180,4,4,0,1694.5715752697802,307.3448837645757,1917.7414850197747,346.97960975077416
"[5.70, 6.00)",5.85,5.856053824601721,5.85128815679436,130,4,94,2,4,1,870.0097069455943,148.56586585502652,1367.4860811685444,233.70684275404483
"[6.00, 6.30)",6.15,6.174916435933502,6.152832508358543,69,1,82,1,2,0,844.8676535875668,136.82252421604514,742.3968540070902,120.65936347179185
"[6.30, 6.60)",6.449999999999999,6.422144088339299,6.426270534489499,56,3,47,0,0,0,573.3918622033815,89.28355613267699,644.0225509556311,100.2171551134039
"[6.60, 6.90)",6.75,6.750613192717235,6.707943806515537,28,1,24,0,0,0,302.86562694713734,44.86490609088341,370.3046296876701,55.20389561522371
"[6.90, 7.50)",7.2,7.1000639374381205,7.133565921112329,27,0,20,1,1,0,207.94800719091367,29.2881879689025,331.50573079500873,46.471250768692336
"[7.50, 8.70)",8.1,7.819506937383128,7.776417064371626,6,0,8,0,1,0,50.91020326871963,6.510666679676508,58.77889068403095,7.558608315046768
