Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.365886448924987,204,37,184,48,12,4,0.5225135678716704,0.514793483395351,0.5424416691257192,1268.8937067789911,290.63827509564095
"[4.50, 4.80)",4.65,4.663391750000039,294,48,284,44,20,5,0.49945846849376685,0.5055235997107351,0.4545103033942984,1923.818630853988,412.53635422200415
"[4.80, 5.10)",4.949999999999999,4.93746946311704,323,21,273,39,7,8,0.5139178985496239,0.4887062239101555,-0.4616934892957496,3018.7985502445968,611.4060193779547
"[5.10, 5.40)",5.25,5.244457660226985,248,21,208,21,10,2,0.4959787201281931,0.49444819405747226,0.49274160794377214,2205.9560634116037,420.62615552055536
"[5.40, 5.70)",5.550000000000001,5.532731630722121,165,7,144,11,3,0,0.49774571798342465,0.5047190877634816,0.484210180311812,1640.9515221248357,296.5897555943197
"[5.70, 6.00)",5.85,5.841008323619556,126,5,106,7,2,1,0.5132281245057987,0.4810508639309803,0.38501618238521684,1422.1123865145703,243.47035780858394
"[6.00, 6.30)",6.15,6.122743208890862,77,2,56,1,4,0,0.5163085498540266,0.5178619331245103,0.4744697866344436,772.28640185925,126.13405062257218
"[6.30, 6.60)",6.449999999999999,6.410267782287091,47,1,46,1,1,1,0.5263597944077563,0.5080175774986686,0.0,572.5510452176409,89.31780460088095
"[6.60, 6.90)",6.75,6.739501710661139,18,0,21,1,1,0,0.537714041998506,0.5692975811646108,0.5570012758833887,184.85432704916622,27.428485811754797
"[6.90, 7.50)",7.2,7.083585031225166,18,0,10,1,1,0,0.5144824835905302,0.4862900605976798,0.4948701496436756,231.2807183181325,32.65023533967948
"[7.50, 8.70)",8.1,7.719909511344722,6,0,6,0,0,0,0.563531303336318,0.5459523479519092,0.0,83.65878767124089,10.83675754855687
