Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.34771097207491,4.365886448924987,204,37,184,48,12,4,849.7773820055293,195.45397278328738,1268.8937067789911,290.63827509564095
"[4.50, 4.80)",4.65,4.652675211229174,4.663391750000039,294,48,284,44,20,5,1560.7659450391325,335.4555979476588,1923.818630853988,412.53635422200415
"[4.80, 5.10)",4.949999999999999,4.812118068314274,4.812118091090258,323,21,273,39,7,8,21151975971.45577,4395564628.958799,9794547377.028692,2035392147.8285232
"[5.10, 5.40)",5.25,5.237293845171683,5.244457660226985,248,21,208,21,10,2,1600.8694035415374,305.6672875090627,2205.9560634116037,420.62615552055536
"[5.40, 5.70)",5.550000000000001,5.539105681178546,5.532731630722121,165,7,144,11,3,0,1329.2264097319537,239.9713033547207,1640.9515221248357,296.5897555943197
"[5.70, 6.00)",5.85,5.832466490289262,5.841008323619556,126,5,106,7,2,1,1058.4766458168058,181.48010752896937,1422.1123865145703,243.47035780858394
"[6.00, 6.30)",6.15,6.157398093339939,6.122743208890862,77,2,56,1,4,0,427.74710289097004,69.4688075071249,772.28640185925,126.13405062257218
"[6.30, 6.60)",6.449999999999999,13325374.996612418,5906154.531516326,47,1,46,1,1,1,1139224312.3779187,85.49285199610013,527524756.3885827,89.31780460088095
"[6.60, 6.90)",6.75,6.760271086546658,6.739501710661139,18,0,21,1,1,0,198.09629990366608,29.30301127981236,184.85432704916622,27.428485811754797
"[6.90, 7.50)",7.2,7.133490714711826,7.083585031225166,18,0,10,1,1,0,61.426840127043164,8.611049286201341,231.2807183181325,32.65023533967948
"[7.50, 8.70)",8.1,7.633573691050211,7.719909511344722,6,0,6,0,0,0,81.27577274791915,10.64714588963867,83.65878767124089,10.83675754855687
