Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.368549823819872,4.3685498235604445,71,19,84,27,1,3,38404482663.67925,8791128455.094114,17783419107.113503,4070783171.844359
"[4.50, 4.80)",4.65,4.657599646741104,4.652439228483694,202,22,167,34,8,3,1038.2458144623627,222.91435357455367,1603.312531604778,344.61761946051763
"[4.80, 5.10)",4.949999999999999,4.917458791449435,4.952596764550273,229,32,232,41,12,3,1472.7202063348752,299.48806259356303,1735.5105390196727,350.4243574688173
"[5.10, 5.40)",5.25,5.250840532348417,5.254610080863552,202,22,205,21,10,1,1585.1300651571153,301.88120461700106,1692.4897692016175,322.0961675853731
"[5.40, 5.70)",5.550000000000001,5.522142456869744,5.547500760629927,127,18,113,6,4,3,1200.1445868284713,217.3331449165076,1081.4908648127803,194.95100793640546
"[5.70, 6.00)",5.85,5.835277915375106,5.838709152414121,117,6,94,2,2,1,1062.4184401512593,182.0681817659347,1267.8606836937267,217.14742943986283
"[6.00, 6.30)",6.15,6.137878161682441,6.126820550706488,60,4,67,1,4,0,610.9263519301485,99.53380237229875,542.2938552469789,88.51146377780668
"[6.30, 6.60)",6.449999999999999,6.466642028316874,6.448584637562009,34,1,35,0,2,0,335.277740442298,51.84727080517916,388.75088370314757,60.28468346972353
"[6.60, 6.90)",6.75,6.748345077037811,6.742295956329265,20,0,16,0,0,0,209.56843375066902,31.054789190279397,274.76606671049,40.75259651759369
"[6.90, 7.50)",7.2,6.911818031391893,7.064094417203724,16,0,13,0,1,0,120.80936352001955,17.478666679494616,193.9429583817309,27.454751724355063
"[7.50, 8.70)",8.1,7.632147153218586,7.776588804613287,8,0,3,0,0,0,45.088099514098495,5.907655946476896,133.5581516170217,17.17438776469592
