Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.354856979210875,540,81,30,3,0.5113535708472725,0.4917050900499904,0.5141219459026365,2903.7186494945677,666.7770407515744
"[4.50, 4.80)",4.65,4.665508915194678,487,62,23,3,0.5118659354631937,0.4937221459536829,0.4912089824868603,3038.768769946185,651.3263237048998
"[4.80, 5.10)",4.949999999999999,4.94710245607695,384,26,9,2,0.5109314364373849,0.49227308481030757,0.5068423790455885,3166.0167605363245,639.9739622629475
"[5.10, 5.40)",5.25,5.248965550175741,273,11,8,2,0.500664912674892,0.49024759939522744,0.5486311506395518,2494.480843448036,475.23284723492196
"[5.40, 5.70)",5.550000000000001,5.541878973530811,188,7,7,0,0.509364917000891,0.5098029027958211,0.4799236026808262,1613.9740245886583,291.23227560496
"[5.70, 6.00)",5.85,5.8437420666329025,93,4,3,0,0.5021385472753722,0.5055306175631573,0.4969926323355529,880.7042057739209,150.7089456946844
"[6.00, 6.30)",6.15,6.132781957757885,60,2,0,0,0.5199438683578083,0.525989116374631,0.0,684.1149116219125,111.55050290945312
"[6.30, 6.60)",6.449999999999999,6.37643477782368,45,0,2,0,0.53845638231767,0.4886422335296912,0.4358405398548529,404.2768901290215,63.4017133735984
"[6.60, 6.90)",6.75,6.741210708618164,25,0,0,0,0.5007921597536206,0.5024897959898369,0.0,336.5273685561841,49.92090932953001
"[6.90, 7.50)",7.2,7.045247253618743,19,0,0,0,0.5301550776245606,0.5058105871525311,0.0,252.4915887225575,35.83857026350167
"[7.50, 8.70)",8.1,7.919148445129394,9,0,0,0,0.5114357437586008,0.5041954121657828,0.0,139.35736185033892,17.597518573609957
