Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.355923020432599,4.34601154673698,402,44,370,34,9,2,2586.709851873949,593.8373657524038,3003.2821150646596,691.0432894085493
"[4.50, 4.80)",4.65,4.663772706287342,4.637114140715717,348,15,243,12,9,1,1814.4824450858687,389.05893562088096,2975.3271791451793,641.6333712859506
"[4.80, 5.10)",4.949999999999999,4.944378132139873,4.944336995479155,210,15,163,9,4,0,1286.8584073997624,260.266988690613,1853.753627709495,374.9246116121274
"[5.10, 5.40)",5.25,5.240154652275628,5.259370332252237,140,3,107,3,4,0,862.845831280877,164.66037522502722,1308.7492014867746,248.84142374631466
"[5.40, 5.70)",5.550000000000001,5.547063039703176,5.531676066265402,97,3,66,2,2,0,558.0860570753546,100.60928694713695,1013.0782511936391,183.14128286937057
"[5.70, 6.00)",5.85,5.817319902163256,5.814315955378144,60,0,49,0,3,0,404.06845551580136,69.45955565647036,579.857752202714,99.7293158219851
"[6.00, 6.30)",6.15,6.147484415819038,6.140791872281256,43,0,38,1,2,0,307.6228481198905,50.04044375099167,483.5993880173643,78.75195871729014
"[6.30, 6.60)",6.449999999999999,6.406161709835655,6.439502756240358,24,0,19,0,0,0,217.59839347003086,33.96704662262002,310.7288622195736,48.25354906765964
"[6.60, 6.90)",6.75,6.685098871927325,6.729341013907159,17,0,12,0,1,0,71.87759576935575,10.751912147655839,179.5672125762068,26.684219480793903
"[6.90, 7.50)",7.2,7.22541666030884,7.12799046093256,8,0,10,1,0,0,124.69180848284276,17.25738657644596,115.4383555866953,16.195077170683028
"[7.50, 8.70)",8.1,8.039231459299723,8.326483305358677,4,0,3,0,0,0,54.232945862948384,6.74603612764652,68.18977374457812,8.189504649663228
