Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.344621551856514,722,75,665,64,34,2,0.5208139414829137,0.4965135303592425,0.5362173863954734,5061.545577718973,1165.0141484834523
"[4.50, 4.80)",4.65,4.651088753721489,549,38,507,32,17,0,0.5076882645646646,0.4946238357011951,0.5341793847726655,4441.18269355853,954.8694786795874
"[4.80, 5.10)",4.949999999999999,4.944601632537074,391,24,351,10,5,0,0.5122884711614517,0.5021949423654803,0.5355773387253491,3472.1560529340863,702.2114845584687
"[5.10, 5.40)",5.25,5.2297095959613005,274,7,219,7,8,0,0.5084208717991521,0.4926453134664778,0.4935683512778922,2630.4452203239907,502.98112582682995
"[5.40, 5.70)",5.550000000000001,5.534194470548316,174,8,144,3,4,0,0.49912769959309494,0.5129431643530459,0.49885995981710873,1678.1735187293532,303.2371788993319
"[5.70, 6.00)",5.85,5.84289534370236,132,3,96,1,2,0,0.5294449539008506,0.5012972107818345,0.49546190967467735,1440.4734573458932,246.53418769488601
"[6.00, 6.30)",6.15,6.125638669725204,69,0,58,1,1,0,0.5296231938162379,0.4930882935797368,0.5951878587356777,826.7524447979165,134.96591773915463
"[6.30, 6.60)",6.449999999999999,6.454150807221119,45,0,49,0,0,0,0.5193698868306601,0.4904607301566959,0.0,583.4090057547471,90.39283759871395
"[6.60, 6.90)",6.75,6.740307269287296,18,0,17,1,0,0,0.5084577255579084,0.48128432395295495,0.0,249.03486829799573,36.94710913740407
"[6.90, 7.50)",7.2,7.141813744781453,29,0,27,0,0,0,0.543344997697238,0.5015055390777471,0.0,407.8747712020785,57.1108104716556
"[7.50, 8.70)",8.1,7.820958196248809,7,0,8,0,0,0,0.5180594628352246,0.4923899942020569,0.0,109.44773459323233,13.99415926372386
