Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.416075706481934,4.49036292023297,1,0,1,0,0,0,6.799796845259432,1.539782670681724,8.25847427473718,1.8391551911150896
"[4.50, 4.80)",4.65,4.73971152305603,4.649102049315518,7,3,9,1,0,0,67.87694668151082,14.320902517237105,31.342264045515382,6.741573687359662
"[4.80, 5.10)",4.949999999999999,5.032656662925485,4.995216772411592,38,3,41,9,3,1,180.2936044447231,35.824737612821444,269.42885598941257,53.93737014126369
"[5.10, 5.40)",5.25,5.24970530840776,5.2368522240273485,48,8,72,7,5,1,500.6184673555276,95.3612513360994,316.18121775159614,60.37619627701469
"[5.40, 5.70)",5.550000000000001,5.498609215120044,5.5144609483598375,54,5,66,8,6,1,339.3159872990871,61.709420332333856,426.2461293543186,77.29606453756767
"[5.70, 6.00)",5.85,5.825849724408362,5.826291118856442,39,7,37,1,3,1,299.1021747177477,51.340523505886125,293.0268643232917,50.293893378401194
"[6.00, 6.30)",6.15,6.179628669613095,6.148717044891366,36,3,27,1,1,0,269.0299643725795,43.53497252925125,394.67458935205923,64.18812029738348
"[6.30, 6.60)",6.449999999999999,6.4613432881465025,6.461343287838823,22,1,15,0,0,1,28401249274.806606,4395564205.187707,13151363735.844513,2035391581.9017494
"[6.60, 6.90)",6.75,6.749356547991435,6.728292228827001,6,0,12,0,0,0,161.292609519676,23.897479466790898,75.07960203884612,11.15879029706404
"[6.90, 7.50)",7.2,7.170752101474338,7.134205978013504,14,0,9,0,0,0,149.32219060228223,20.823783682548576,196.5794401692364,27.554494610200937
"[7.50, 8.70)",8.1,7.914005756378173,7.914005756378172,0,0,1,0,0,0,17.53826662117441,2.2161048603028513,-0.2523759180848141,-0.031889781970579886
