Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.369537353515625,4.385502495517633,3,1,2,1,0,0,5.015619552514914,1.1478605506094293,24.97508725447668,5.694920315289616
"[4.50, 4.80)",4.65,4.625336941641643,4.63047860714404,25,5,39,5,4,1,181.4894419548123,39.23810183878136,121.10747610499287,26.154418663795283
"[4.80, 5.10)",4.949999999999999,4.9424484038113565,4.956290425755963,78,5,83,21,4,2,553.6281670567639,112.01496137619463,738.7109488593594,149.0451296034951
"[5.10, 5.40)",5.25,5.2500527720850085,5.233561238187509,89,20,97,17,6,1,567.1652093665886,108.03038254820137,609.2577089966898,116.41360084814606
"[5.40, 5.70)",5.550000000000001,5.524241795341381,5.524689774356243,79,15,78,17,3,0,491.6348070476381,88.9958885330175,637.4565565813613,115.38323102597016
"[5.70, 6.00)",5.85,5.866580720256462,5.830366572018087,78,8,54,4,4,0,354.93189445766535,60.50064106884891,747.2044050265306,128.1573629714157
"[6.00, 6.30)",6.15,6.079926275884849,6.120805302661276,38,1,39,2,2,1,378.65912158851177,62.28021597735627,437.7090493100579,71.51167659584688
"[6.30, 6.60)",6.449999999999999,6.41457489373469,6.407875859279378,28,0,25,0,1,0,303.5983945535943,47.32946447474299,370.9821707946191,57.89471877133701
"[6.60, 6.90)",6.75,6.724625428517659,6.744516289790643,15,1,5,2,0,0,50.943518374179085,7.5756663201103835,189.29350988579537,28.066284037646124
"[6.90, 7.50)",7.2,7.125420570373534,7.100816808513458,8,0,7,0,0,0,107.64023533785169,15.106509752617857,111.41718992223284,15.690756842036853
"[7.50, 8.70)",8.1,7.731409629185994,7.59375640083821,3,0,6,0,0,0,104.58197631657401,13.526896301261557,38.59885830044629,5.082972940267835
