Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.345587025746857,663,64,609,40,16,3,0.5059113577728456,0.5016419006380085,0.5561868659270284,4911.905183770154,1130.3202892193756
"[4.50, 4.80)",4.65,4.64160039572016,497,23,386,25,20,0,0.5143468509071344,0.4966391258944942,0.5218329652193191,4021.047372286179,866.306236959526
"[4.80, 5.10)",4.949999999999999,4.939528798363838,329,10,282,12,7,1,0.5069489547156886,0.4972263299175003,0.5807153740228018,3027.2643974770035,612.865016290572
"[5.10, 5.40)",5.25,5.257064996809344,219,8,208,9,6,0,0.5160069498260061,0.4965500522915729,0.5210378839696904,2081.5029128183814,395.94391815237253
"[5.40, 5.70)",5.550000000000001,5.533595620870717,161,5,152,2,8,0,0.5269978060113147,0.5090196655192327,0.5240736594954468,1501.2938245206078,271.3053008171164
"[5.70, 6.00)",5.85,5.8470798004538365,93,2,78,1,3,0,0.5204764299664274,0.5089396056659233,0.5340135000792466,966.1701061623169,165.23976739419993
"[6.00, 6.30)",6.15,6.144201450627854,67,1,42,1,2,0,0.5037288582047785,0.5153211389944037,0.6152695693973054,739.0735189741708,120.28796987095004
"[6.30, 6.60)",6.449999999999999,6.4102588819090105,32,0,38,0,1,0,0.5395616146221017,0.5030647093640039,0.6484227477300456,381.1390258812473,59.45766511191854
"[6.60, 6.90)",6.75,6.744545756349094,32,0,16,0,0,0,0.543249355175727,0.5135069370441157,0.0,417.43859904569905,61.892767004024854
"[6.90, 7.50)",7.2,7.147649572513894,19,2,14,0,0,0,0.5384146274103199,0.4826828937529739,0.0,249.06440534918605,34.84563741162646
"[7.50, 8.70)",8.1,8.079118478952324,5,0,10,0,0,0,0.5129410978124559,0.5207021211327174,0.0,75.31257125622493,9.321879788299778
