Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.344793046889002,4.348623402951719,561,56,477,42,17,4,3262.0459375898163,750.7943191737373,4153.2590398440625,955.0744350556894
"[4.50, 4.80)",4.65,4.634895459961063,4.635213778057148,364,22,379,14,6,1,3062.7926650900863,660.8115957626833,3015.3126279401367,650.5228825074831
"[4.80, 5.10)",4.949999999999999,4.950969870237753,4.9436834892910895,291,4,241,7,5,0,2015.8643758008498,407.16555112140986,2676.303987644574,541.3582793967154
"[5.10, 5.40)",5.25,5.2469616068636915,5.230870164941634,162,2,153,4,2,0,1367.3327828732474,260.5951568398371,1605.8394603727693,306.99279655905724
"[5.40, 5.70)",5.550000000000001,5.524568894939721,5.537242488672852,128,6,90,3,3,0,801.783014403032,145.13042187552995,1280.956535506009,231.33473712346384
"[5.70, 6.00)",5.85,5.82980327215899,5.857166745208228,64,1,59,0,3,0,500.7378333286267,85.89274971249333,608.4088997640986,103.8742665576049
"[6.00, 6.30)",6.15,6.121622130007822,6.117378363303292,46,0,42,0,4,0,308.23625488727413,50.3520551156398,464.1622287474122,75.87600458585524
"[6.30, 6.60)",6.449999999999999,6.419459593850845,6.451474411093839,30,0,22,0,1,0,198.3128089849141,30.892446020670736,365.9023055890772,56.71607484947599
"[6.60, 6.90)",6.75,6.696916162967682,6.720356364585429,18,0,16,0,0,0,196.8407495741393,29.392745076102457,230.2275550759879,34.258236109208234
"[6.90, 7.50)",7.2,7.185190779822213,7.104365600729954,18,0,14,0,0,0,185.02873652486915,25.75140204272313,243.40415244211016,34.26120868795112
"[7.50, 8.70)",8.1,7.798623847961426,7.6583046479664265,5,0,5,0,0,0,76.76042180665627,9.842816284404021,71.31073180623913,9.311555897058087
