Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.391898811830638,4.360558596671411,398,62,363,58,23,3,1813.4698195474743,412.91247755127154,2441.1577734428656,559.8268477131115
"[4.50, 4.80)",4.65,4.652333413221462,4.653293227069444,415,52,402,64,18,7,2690.73151231759,578.361710850474,3124.0930077285634,671.3724786469255
"[4.80, 5.10)",4.949999999999999,4.94851386558156,4.941595783044009,347,45,315,27,12,3,2509.8874994559706,507.2002560027187,2772.886858245027,561.1318650868964
"[5.10, 5.40)",5.25,5.243778570924748,5.240501467392279,270,21,243,28,6,0,1903.3407486428284,362.9712282658746,2414.4345611186513,460.725863000301
"[5.40, 5.70)",5.550000000000001,5.554595822926872,5.53924792261068,185,9,180,11,7,1,1631.1220415213068,293.65269652721963,1817.1493599345001,328.04983371787176
"[5.70, 6.00)",5.85,5.737246994076677,5.737246999090365,112,8,89,8,0,1,25218438244.300926,4395564330.82579,11677545154.49766,2035391740.3850877
"[6.00, 6.30)",6.15,287931.00973334344,97437.70569111218,79,0,60,0,1,1,32972381.32971192,114.5148671560179,15268690.113305224,156.702069337599
"[6.30, 6.60)",6.449999999999999,6.473402250820643,6.421887622953129,44,0,38,3,2,0,284.7005520131105,43.980049590927024,488.2933956850739,76.03580510188534
"[6.60, 6.90)",6.75,6.754508239600746,6.731674779830901,16,1,26,1,1,0,266.5881535924457,39.46818097422345,167.49445597183603,24.881543070629963
"[6.90, 7.50)",7.2,7.106843388598898,7.154590249811839,30,0,24,1,0,0,307.8096454512447,43.3117248573461,411.7906733504967,57.55615052327092
"[7.50, 8.70)",8.1,7.5981605052948,7.587200499826929,5,0,2,0,0,0,35.691053690244594,4.697328210607447,83.98940483932697,11.069880760531218
