Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.367438793271314,4.367438795019683,32,4,32,9,0,1,19197357687.30153,4395564218.753998,8889448206.055437,2035391592.9382532
"[4.50, 4.80)",4.65,4.685793764051944,4.661417493752804,97,17,99,16,6,1,547.7711683404208,116.90040064135194,636.0483156549641,136.4495491998713
"[4.80, 5.10)",4.949999999999999,4.948992205763151,4.962580158720412,163,19,138,33,8,3,717.5914411900856,144.9974886512133,1292.3793369394302,260.42487891473513
"[5.10, 5.40)",5.25,5.229090452588121,5.2361392779968625,139,20,136,13,5,2,1167.9167017007344,223.3498755261879,1194.0605225117388,228.04216219560504
"[5.40, 5.70)",5.550000000000001,5.499298242113493,5.542141094306868,114,16,87,8,6,1,609.8186900820413,110.89027421936575,975.4394676878535,176.0040841778402
"[5.70, 6.00)",5.85,5.815448000335849,5.822340908999891,71,4,78,6,5,0,569.2487393019907,97.88562106807866,660.6345205580006,113.46544815622596
"[6.00, 6.30)",6.15,6.13863502939542,6.139048014690309,58,2,52,4,0,0,616.6851638681359,100.45965608235089,667.867946412134,108.79014870285637
"[6.30, 6.60)",6.449999999999999,6.441166851920886,6.4475068735935395,29,2,28,0,1,0,284.84982534929406,44.223326595606835,311.5570575416885,48.322097773591224
"[6.60, 6.90)",6.75,6.745659255981445,6.755409784052947,26,0,10,0,0,0,127.2269639138279,18.860567823821587,347.7162202836197,51.47226169823932
"[6.90, 7.50)",7.2,7.114057970046996,7.061501578504976,11,1,11,1,0,0,158.7890853135568,22.32046547583978,132.332997130128,18.740064794851303
"[7.50, 8.70)",8.1,7.837895665849957,7.8131013658900885,1,0,7,0,0,0,111.38621011411541,14.211239197713468,16.215930746788857,2.075479375908685
