Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.352818195807631,4.345587025746857,663,64,609,40,16,3,4448.421335977397,1021.9635040723376,4911.905183770154,1130.3202892193756
"[4.50, 4.80)",4.65,4.620968333524292,4.64160039572016,497,23,386,25,20,0,2464.799932448147,533.3946814927226,4021.047372286179,866.306236959526
"[4.80, 5.10)",4.949999999999999,4.949838016169672,4.939528798363838,329,10,282,12,7,1,2411.4752667886187,487.1826631318106,3027.2643974770035,612.865016290572
"[5.10, 5.40)",5.25,5.245642549821807,5.257064996809344,219,8,208,9,6,0,1757.4827713667055,335.03670039934514,2081.5029128183814,395.94391815237253
"[5.40, 5.70)",5.550000000000001,5.533862915768934,5.533595620870717,161,5,152,2,8,0,1203.796407905295,217.53274814145385,1501.2938245206078,271.3053008171164
"[5.70, 6.00)",5.85,5.842854387748092,5.8470798004538365,93,2,78,1,3,0,720.1190718132129,123.24782101762348,966.1701061623169,165.23976739419993
"[6.00, 6.30)",6.15,6.124142249929164,6.144201450627854,67,1,42,1,2,0,410.9589696220699,67.10473938237202,739.0735189741708,120.28796987095004
"[6.30, 6.60)",6.449999999999999,6.416934028921003,6.4102588819090105,32,0,38,0,1,0,408.4294421766246,63.64868959784231,381.1390258812473,59.45766511191854
"[6.60, 6.90)",6.75,6.690264016389848,6.744545756349094,32,0,16,0,0,0,197.04436506438472,29.452404954672087,417.43859904569905,61.892767004024854
"[6.90, 7.50)",7.2,7.13515053476606,7.147649572513894,19,2,14,0,0,0,185.5300773814196,26.002265330972804,249.06440534918605,34.84563741162646
"[7.50, 8.70)",8.1,7.861184310913087,8.079118478952324,5,0,10,0,0,0,153.25705708586705,19.495415833605616,75.31257125622493,9.321879788299778
