Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.374285848625024,32,9,0,1,0.5097422330686839,0.4898098671132393,0.367010966967698,249.7607890249919,57.09750063624663
"[4.50, 4.80)",4.65,4.685793764051944,99,16,6,1,0.511352864013961,0.5005802524828473,0.4839423539890178,547.7711683404208,116.90040064135194
"[4.80, 5.10)",4.949999999999999,4.948992205763151,138,33,8,3,0.5173302152027232,0.4962303575477249,0.37913939982987105,717.5914411900856,144.9974886512133
"[5.10, 5.40)",5.25,5.229090452588121,136,13,5,2,0.48215302939506555,0.48291952223989193,0.4152523432491926,1167.9167017007344,223.3498755261879
"[5.40, 5.70)",5.550000000000001,5.499298242113493,87,8,6,1,0.5104219830670067,0.4935738449151418,0.5008205549124531,609.8186900820413,110.89027421936575
"[5.70, 6.00)",5.85,5.815448000335849,78,6,5,0,0.5077209604123457,0.49320692007639844,0.5003538379673664,569.2487393019907,97.88562106807866
"[6.00, 6.30)",6.15,6.13863502939542,52,4,0,0,0.47780374601972,0.5080021005630947,0.0,616.6851638681359,100.45965608235089
"[6.30, 6.60)",6.449999999999999,6.441166851920886,28,0,1,0,0.5134367286531459,0.5010997784910546,0.42629259413674114,284.84982534929406,44.223326595606835
"[6.60, 6.90)",6.75,6.745659255981445,10,0,0,0,0.5302067304341513,0.5024769645417914,0.0,127.2269639138279,18.860567823821587
"[6.90, 7.50)",7.2,7.114057970046996,11,1,0,0,0.44801933054775434,0.5246243831846777,0.0,158.7890853135568,22.32046547583978
"[7.50, 8.70)",8.1,7.837895665849957,7,0,0,0,0.49256788254793943,0.4386004694534265,0.0,111.38621011411541,14.211239197713468
