Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.354856979210875,4.3460633223312355,552,84,540,81,30,3,2903.7186494945677,666.7770407515744,3615.842974924688,831.9811992488742
"[4.50, 4.80)",4.65,4.665508915194678,4.65329007765679,514,66,487,62,23,3,3038.768769946185,651.3263237048998,3781.1344501705803,812.5722632951798
"[4.80, 5.10)",4.949999999999999,4.94710245607695,4.9427610796439865,419,31,384,26,9,2,3166.0167605363245,639.9739622629475,3707.005578831911,749.9868027404061
"[5.10, 5.40)",5.25,5.248965550175741,5.239949499108498,294,11,273,11,8,2,2494.480843448036,475.23284723492196,2868.7115007502316,547.4693031370439
"[5.40, 5.70)",5.550000000000001,5.541878973530811,5.553634960019303,189,12,188,7,7,0,1613.9740245886583,291.23227560496,1734.9115274918415,312.39207113566056
"[5.70, 6.00)",5.85,5.8437420666329025,5.84815492693059,128,3,93,4,3,0,880.7042057739209,150.7089456946844,1359.2760218228582,232.42818270142436
"[6.00, 6.30)",6.15,6.132781957757885,6.127017607845276,85,6,60,2,0,0,684.1149116219125,111.55050290945312,910.401343550978,148.5880083623824
"[6.30, 6.60)",6.449999999999999,6.37643477782368,6.4309484463679025,50,0,45,0,2,0,404.2768901290215,63.4017133735984,590.243202014468,91.78167216498649
"[6.60, 6.90)",6.75,6.741210708618164,6.732318349411407,33,0,25,0,0,0,336.5273685561841,49.92090932953001,437.2951312903895,64.95461274920568
"[6.90, 7.50)",7.2,7.045247253618743,7.141796925613554,21,0,19,0,0,0,252.4915887225575,35.83857026350167,292.82653011267314,41.001800129946474
"[7.50, 8.70)",8.1,7.919148445129394,7.779526287786014,10,0,9,0,0,0,139.35736185033892,17.597518573609957,152.32585813312053,19.5803513605031
