Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,1817366.084433954,781222.1080611991,104,5,100,9,2,2,323354191.36217886,177.924631768889,149731506.82682815,191.66317143587358
"[4.50, 4.80)",4.65,4.609155301648353,4.62417209660104,65,2,48,7,5,0,176.60780025536994,38.31673890272485,466.1327978913619,100.80351426236689
"[4.80, 5.10)",4.949999999999999,4.955249458776084,4.934371089631086,43,0,34,1,2,0,258.57215614774486,52.18146095345331,379.8061021880704,76.97153199243193
"[5.10, 5.40)",5.25,5.256713086908514,5.22707893425267,36,1,22,0,0,0,217.24815945270853,41.327756691486606,376.12951848461535,71.95787995851103
"[5.40, 5.70)",5.550000000000001,5.457194713711971,5.474822398974606,21,0,18,0,1,0,141.73187183970526,25.971562180763673,216.96696228111765,39.62995444779249
"[5.70, 6.00)",5.85,5.823276964823405,5.874350493939763,14,1,15,0,0,0,169.75750168423207,29.15154177101382,153.7675318851366,26.176090793998405
"[6.00, 6.30)",6.15,6.130103074587309,6.156800087265298,10,0,13,0,0,0,133.8715291537692,21.838381430932415,118.47777515814244,19.24340135766328
"[6.30, 6.60)",6.449999999999999,6.447903990745544,6.392382673297964,7,0,4,0,0,0,61.45688761026589,9.531296945251178,85.80205368392599,13.422546500905728
"[6.60, 6.90)",6.75,6.748747110366821,6.766143142595481,2,0,2,0,0,0,22.52611728562463,3.3378221049388594,20.69204194564537,3.0581738384133477
"[6.90, 7.50)",7.2,6.988343715667724,7.086634081209816,3,0,1,0,0,0,10.734817514807775,1.5361032530126606,36.58463861585305,5.162484502037023
"[7.50, 8.70)",8.1,8.004467487335205,7.621651038419052,4,0,2,0,0,0,29.638496616219904,3.7027443316016213,57.109275475446964,7.493032046150076
