Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.335972316740947,4.3534613590990086,626,97,624,83,31,4,3455.0394135833867,796.8315204051631,3966.2292915603257,911.0519112040944
"[4.50, 4.80)",4.65,4.6398633419687165,4.643149151937016,577,48,542,44,16,0,3989.4672177876882,859.8242930350914,4598.6303264225,990.4119329235969
"[4.80, 5.10)",4.949999999999999,4.943517484716142,4.946565893667216,464,36,400,24,12,2,3212.903286599585,649.9225089286947,4015.2907187529445,811.7329891214982
"[5.10, 5.40)",5.25,5.239491896559053,5.2412519508560536,290,13,283,11,4,1,2575.562679332005,491.5672607535593,2782.5322474638106,530.890763037892
"[5.40, 5.70)",5.550000000000001,5.516940436429714,5.532799902436327,201,6,147,3,9,0,1128.4843359580573,204.54894319800843,1894.7066656758282,342.4498805462869
"[5.70, 6.00)",5.85,5.8347894652834835,5.841573735095014,136,3,110,2,2,0,1125.8139506208774,192.94851293596412,1502.541558963836,257.2152004068467
"[6.00, 6.30)",6.15,6.1254186630911525,6.119958739973137,77,1,68,0,2,0,687.1916329945507,112.18688399786275,846.5433090950656,138.3250026778418
"[6.30, 6.60)",6.449999999999999,6.4461709609245075,6.462346401670705,45,1,43,1,4,0,276.11032249900245,42.8332298619959,460.098714969562,71.1968511701281
"[6.60, 6.90)",6.75,6.726717114448547,6.72555435244859,32,1,20,0,0,0,248.16586618214495,36.89256764627443,407.6201474028979,60.60766533757839
"[6.90, 7.50)",7.2,7.174833347922877,7.191257054177202,30,1,19,0,0,0,262.6775156362724,36.610957063179434,418.30771319506573,58.168927913942724
"[7.50, 8.70)",8.1,7.764404714107513,7.781512757296463,8,0,8,0,0,0,124.00156392576672,15.97051782997123,121.76741619780421,15.648296159847195
