Mass Bin,Mass Center,LH2 Mass Bin Average,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom),Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.3446113373688915,4.344621551856514,722,75,665,64,34,2,3873.8623184432236,891.6476107133774,5061.545577718973,1165.0141484834523
"[4.50, 4.80)",4.65,4.6418467414758995,4.651088753721489,549,38,507,32,17,0,3693.641910869649,795.7268123193651,4441.18269355853,954.8694786795874
"[4.80, 5.10)",4.949999999999999,4.941139351968487,4.944601632537074,391,24,351,10,5,0,3086.2595239687666,624.6048338505653,3472.1560529340863,702.2114845584687
"[5.10, 5.40)",5.25,5.237818180947955,5.2297095959613005,274,7,219,7,8,0,1810.8808075681784,345.7318954207074,2630.4452203239907,502.98112582682995
"[5.40, 5.70)",5.550000000000001,5.523366453988042,5.534194470548316,174,8,144,3,4,0,1365.641102984376,247.2479626982455,1678.1735187293532,303.2371788993319
"[5.70, 6.00)",5.85,5.840852022326407,5.84289534370236,132,3,96,1,2,0,944.4067652601645,161.68989757833447,1440.4734573458932,246.53418769488601
"[6.00, 6.30)",6.15,6.135158350837891,6.125638669725204,69,0,58,1,1,0,614.9791581756167,100.23851431505884,826.7524447979165,134.96591773915463
"[6.30, 6.60)",6.449999999999999,6.437396973979716,6.454150807221119,45,0,49,0,0,0,607.3368127864765,94.34509247159411,583.4090057547471,90.39283759871395
"[6.60, 6.90)",6.75,6.74120506644249,6.740307269287296,18,0,17,1,0,0,212.1302826989807,31.467709498255537,249.03486829799573,36.94710913740407
"[6.90, 7.50)",7.2,7.197708730344419,7.141813744781453,29,0,27,0,0,0,357.66987189157516,49.6921847342467,407.8747712020785,57.1108104716556
"[7.50, 8.70)",8.1,7.827600419521332,7.820958196248809,7,0,8,0,0,0,120.87570606945557,15.442242780814722,109.44773459323233,13.99415926372386
