Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.341460005223215,712,97,653,76,37,6,0.6903707966487935,0.6756975234018542,0.7143139320210539,3515.3364428247523,809.7129625967871
"[4.50, 4.80)",4.65,4.642036171893708,577,46,494,37,19,2,0.6984214731936551,0.6791533064911935,0.6554526190176686,3340.365722652608,719.590627681368
"[4.80, 5.10)",4.949999999999999,4.933969016093059,456,19,400,19,14,0,0.6992592096424637,0.6800010185609385,0.7038334414648872,2932.130292641837,594.2741600277886
"[5.10, 5.40)",5.25,5.24272936168407,263,11,244,6,9,1,0.7010534262132003,0.687935382624762,0.7096011741508299,1774.4313817439656,338.45565149942865
"[5.40, 5.70)",5.550000000000001,5.527248120818916,186,3,180,4,4,0,0.6950487090991755,0.6676196640165714,0.6615184893820752,1426.8206975833548,258.14305173113115
"[5.70, 6.00)",5.85,5.851646838261757,130,4,94,2,4,1,0.6962486891024099,0.6861470973601056,0.5875701908490631,1002.5556025287468,171.3287951647058
"[6.00, 6.30)",6.15,6.152912607099646,69,1,82,1,2,0,0.7174485773098112,0.7079351447178991,0.7701080732622836,548.4546495776184,89.1374028203772
"[6.30, 6.60)",6.449999999999999,6.426270974496665,56,3,47,0,0,0,0.6945774386331987,0.6946193717170541,0.0,484.07137771668715,75.3269477178562
"[6.60, 6.90)",6.75,6.707928985397792,28,1,24,0,0,0,0.6987232333994382,0.6501386497067867,0.0,275.26172633829265,41.035277346778464
"[6.90, 7.50)",7.2,7.135247223259611,27,0,20,1,1,0,0.6678792052929504,0.7135735225694327,0.7367878675869681,247.3273732780281,34.66276157492984
"[7.50, 8.70)",8.1,7.777472136923848,6,0,8,0,1,0,0.7416170958165381,0.7157007394619214,0.7515458002036758,42.907556516320916,5.516902633776808
