Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.336181905554054,624,83,31,4,0.694721653407193,0.6835957060262655,0.6545347844657629,2589.695296893236,597.2293951912377
"[4.50, 4.80)",4.65,4.639800286465859,542,44,16,0,0.6843387049709008,0.6752414075776867,0.7370558937742576,2933.264898452323,632.1963699619912
"[4.80, 5.10)",4.949999999999999,4.943573619667582,400,24,12,2,0.698811974899749,0.6806190446431392,0.7266721569435599,2360.5915189797047,477.5071032801645
"[5.10, 5.40)",5.25,5.239580148280977,283,11,4,1,0.7053521200435161,0.6789355333654353,0.4864258194471409,1878.3201182494042,358.4867613611467
"[5.40, 5.70)",5.550000000000001,5.51678344056497,147,3,9,0,0.7084506120923444,0.6887594666942275,0.7498780243952716,830.0155632705006,150.45280863616776
"[5.70, 6.00)",5.85,5.83443644694753,110,2,2,0,0.6982720606120614,0.6739145145232126,0.7607249375766443,834.9066886239043,143.09979999194476
"[6.00, 6.30)",6.15,6.125502209046678,68,0,2,0,0.7115195703851052,0.6915911515226397,0.796393692857754,517.7304417656599,84.52048894881308
"[6.30, 6.60)",6.449999999999999,6.446149312681507,43,1,4,0,0.7358322420928561,0.6726709367315928,0.6908914863095109,203.72632199436472,31.604344254572887
"[6.60, 6.90)",6.75,6.726717114448547,20,0,0,0,0.7202251856919405,0.6841618368547278,0.0,186.79483161883604,27.769092774484747
"[6.90, 7.50)",7.2,7.174833347922877,19,0,0,0,0.697739315624996,0.6721451758939214,0.0,195.37645444047416,27.230800349813823
"[7.50, 8.70)",8.1,7.764404714107513,8,0,0,0,0.6945820237211235,0.7080242733190127,0.0,89.42822530892268,11.517718176956478
