Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.346101238142121,402,44,370,34,9,2,0.6992147609530426,0.6687942261408264,0.7233369161328452,2210.6755093119664,508.65715918228125
"[4.50, 4.80)",4.65,4.637240959398234,348,15,243,12,9,1,0.6868051434269943,0.6640982377022843,0.7191935045896413,2197.7078036597554,473.92572930800384
"[4.80, 5.10)",4.949999999999999,4.944365701157871,210,15,163,9,4,0,0.70295535917946,0.6672726579902898,0.653385144048294,1367.647515113356,276.6072733643226
"[5.10, 5.40)",5.25,5.259376688682703,140,3,107,3,4,0,0.7099713500700418,0.6985908991110442,0.7707707424694098,964.7087158256611,183.4264349046442
"[5.40, 5.70)",5.550000000000001,5.531675879276764,97,3,66,2,2,0,0.7216829565657765,0.6556111506454354,0.67850023495719,752.8342396275958,136.09514658079075
"[5.70, 6.00)",5.85,5.814020686918638,60,0,49,0,3,0,0.6673429264538892,0.694109103983004,0.6274944759580275,439.7918215440825,75.64331900875416
"[6.00, 6.30)",6.15,6.140670688994474,43,0,38,1,2,0,0.7248917928970899,0.6386394519401802,0.6774160317452033,372.0029831812893,60.580187738776836
"[6.30, 6.60)",6.449999999999999,6.4395052969918245,24,0,19,0,0,0,0.7325217977622439,0.6495888482995448,0.0,235.51307320445832,36.57316243135584
"[6.60, 6.90)",6.75,6.729816991412038,17,0,12,0,1,0,0.7650800550265074,0.7024896496151066,0.6079167082606669,138.78298280033462,20.622103539730197
"[6.90, 7.50)",7.2,7.128013670021304,8,0,10,1,0,0,0.7028674031903754,0.6454409738705995,0.0,87.03552512367537,12.210347672273086
"[7.50, 8.70)",8.1,8.326101941718663,4,0,3,0,0,0,0.6650991289294191,0.6409025186162228,0.0,51.42437202856832,6.176284219017545
