Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.490304324660283,1,0,1,0,0,0,0.8841045680106785,0.6833869826906493,0.0,6.497567613659982,1.4470216590835545
"[4.50, 4.80)",4.65,4.649000340979228,7,3,9,1,0,0,0.7297325509938591,0.7795874343191845,0.0,23.12015647357555,4.973145790027132
"[4.80, 5.10)",4.949999999999999,4.993964487239772,38,3,41,9,3,1,0.7382832906303016,0.7009469436845694,0.51127056505688,206.43971544154854,41.337842103008306
"[5.10, 5.40)",5.25,5.237401613272617,48,8,72,7,5,1,0.6498651437031299,0.6553582714975562,0.5929398671536127,240.13462823706743,45.84995499075697
"[5.40, 5.70)",5.550000000000001,5.516274352193026,54,5,66,8,6,1,0.6770243717656679,0.6557531168246139,0.5903591267908277,310.19574715867304,56.23283530764799
"[5.70, 6.00)",5.85,5.826320655405394,39,7,37,1,3,1,0.6870017887478418,0.7406203399037725,0.5851616655834994,206.7677896679035,35.48857021387482
"[6.00, 6.30)",6.15,6.148655215482928,36,3,27,1,1,0,0.6662023358043344,0.6688338258128627,0.60084639043875,279.06711916321893,45.38669178595346
"[6.30, 6.60)",6.449999999999999,6.437763513374125,22,1,15,0,0,1,0.6564645810920624,0.647404640274687,0.5984896178314444,228.6241612976728,35.51297913051913
"[6.60, 6.90)",6.75,6.7282782412810365,6,0,12,0,0,0,0.7188881637602456,0.7627658722788465,0.0,51.3090411885703,7.6258798088589845
"[6.90, 7.50)",7.2,7.134223750427165,14,0,9,0,0,0,0.6555272831725502,0.7281522420206746,0.0,135.7582942358079,19.0291612633651
"[7.50, 8.70)",8.1,7.914005756378172,0,0,1,0,0,0,0.6879769340784168,0.0,0.0,-0.16555013993598813,-0.020918627687699812
