Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.37440374632661,32,9,0,1,0.666892628587778,0.6388276269803006,0.5228258224405762,187.6792712240298,42.903966370647154
"[4.50, 4.80)",4.65,4.686083283770669,99,16,6,1,0.6862425179769058,0.6673360941253235,0.6417595267347384,406.13509649651144,86.66834793634179
"[4.80, 5.10)",4.949999999999999,4.94933498842303,138,33,8,3,0.6926783840590082,0.6700899297677466,0.5145631447750566,538.6437634589222,108.83154296867392
"[5.10, 5.40)",5.25,5.229069399731715,136,13,5,2,0.6633463391157667,0.6739181144508513,0.5708080431150818,848.6716714684833,162.29879670597327
"[5.40, 5.70)",5.550000000000001,5.496406397970619,87,8,6,1,0.7085309802938535,0.686828094113865,0.6572391512050777,428.86005527172836,78.02553599931619
"[5.70, 6.00)",5.85,5.816846928671347,78,6,5,0,0.7042858071377361,0.676127565598296,0.7524323632295364,424.59045825362307,72.99323215139268
"[6.00, 6.30)",6.15,6.138635029395421,52,4,0,0,0.6606397120586918,0.7025392804597951,0.0,446.0138802325024,72.65684929902555
"[6.30, 6.60)",6.449999999999999,6.440408642489566,28,0,1,0,0.7160313333904631,0.6834587024704729,0.6810920069967656,210.2428528989987,32.64433432250791
"[6.60, 6.90)",6.75,6.745659255981445,10,0,0,0,0.7270699346817746,0.710828147621585,0.0,92.7786851609247,13.75383511680595
"[6.90, 7.50)",7.2,7.114057970046998,11,1,0,0,0.6864343229930018,0.7576850255553599,0.0,103.6378533495844,14.568036103436437
"[7.50, 8.70)",8.1,7.837895665849959,7,0,0,0,0.7791338425410123,0.6627017437482171,0.0,70.41828587757911,8.984335704338926
