Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[4.20, 4.50)",4.35,4.390805571912934,363,58,23,3,0.6770948487471169,0.680299380929632,0.6680039572630427,1399.4395676948461,318.72045909907024
"[4.50, 4.80)",4.65,4.652330510203834,402,64,18,7,0.6845133351938322,0.6774027805068512,0.7340943126333932,1990.504498757668,427.85105107901234
"[4.80, 5.10)",4.949999999999999,4.948052713163277,315,27,12,3,0.6864390026692575,0.690275644968284,0.784140384159953,1826.110079772468,369.05631076129754
"[5.10, 5.40)",5.25,5.243743161175595,243,28,6,0,0.6886206026399223,0.6812208260929682,0.5698593358362544,1394.2691659068062,265.89196363199164
"[5.40, 5.70)",5.550000000000001,5.554541204029346,180,11,7,1,0.6723996750852687,0.6835226099804121,0.7165585131687896,1191.4296044258701,214.4964922686305
"[5.70, 6.00)",5.85,5.839270494255908,89,8,0,1,0.706650015971478,0.6879965022986786,0.6244141165118061,710.4746883217617,121.67182339312006
"[6.00, 6.30)",6.15,6.14367569287618,60,0,1,1,0.7160095211951816,0.6905430734588164,0.0,514.8263125848661,83.79776835906658
"[6.30, 6.60)",6.449999999999999,6.47050755076944,38,3,2,0,0.7287384139221508,0.7006110519109207,0.6322119348522974,220.70300099053284,34.10907092818213
"[6.60, 6.90)",6.75,6.754411292550958,26,1,1,0,0.7018615315104433,0.7003843419365304,0.7460115754724105,200.7521399958535,29.72163395161488
"[6.90, 7.50)",7.2,7.1068433885988975,24,1,0,0,0.7080301237322553,0.7020438842689792,0.0,230.86220834240493,32.484493567532944
"[7.50, 8.70)",8.1,7.598160505294801,2,0,0,0,0.5870713404223957,0.6595957066618039,0.0,25.88496484883064,3.406740990900709
