Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.20)",4.05,4.05245118895563,778,140,784,128,39,6,0.7099029480331193,0.7114834244619946,0.6509588859910426,3117.164685493264,769.2047455102348
"[4.20, 4.50)",4.35,4.353444217772724,913,126,843,133,41,6,0.7013408907957338,0.6743224132479715,0.7005405443770505,4527.475360576265,1039.9755076895365
"[4.50, 4.80)",4.65,4.652084031224568,780,104,740,91,31,4,0.6830067667744361,0.6819448378116623,0.6754967286029919,4129.078804433169,887.5761436635682
"[4.80, 5.10)",4.949999999999999,4.93974361321606,694,53,628,42,20,2,0.6762949601420118,0.665972355204126,0.6597708180056548,4389.469386536625,888.6026745989001
"[5.10, 5.40)",5.25,5.242717977661997,446,21,438,21,10,2,0.6797928379468993,0.6565334244199871,0.7757320249080215,3225.9454941206277,615.3192881756431
"[5.40, 5.70)",5.550000000000001,5.549538485031802,291,15,308,10,8,0,0.6736761463600263,0.6611933816987045,0.6460635781147598,2126.497434770085,383.18455498698984
"[5.70, 6.00)",5.85,5.848256306060165,207,6,169,9,5,0,0.6843983434197288,0.6576303444685839,0.6966299011020457,1673.2913370987733,286.11798962450587
"[6.00, 6.30)",6.15,6.123379680751256,128,7,112,5,1,1,0.693594422101383,0.6769734524860187,0.0,1080.9725859412072,176.53202027292653
"[6.30, 6.60)",6.449999999999999,6.418905841051567,87,1,78,1,2,0,0.6903513612726526,0.6413767912964811,0.5730301268661684,799.9414444501914,124.62271051465406
"[6.60, 6.90)",6.75,6.725063862317434,48,0,47,0,0,0,0.6451241929411786,0.6310730883803901,0.0,504.512613825002,75.0197506155947
"[6.90, 7.50)",7.2,7.179850048629697,34,0,28,0,1,0,0.6262015194361131,0.6495661659214903,0.6109911306780893,344.72736165706635,48.01317009717479
"[7.50, 8.80)",8.15,7.848751366216037,16,0,15,0,0,0,0.6500641908623379,0.6403109953927106,0.0,193.53525308891116,24.658094524685712
"[8.80, 10.00)",9.4,9.111923217773438,0,0,1,0,0,0,0.6470337242061737,0.0,0.0,-0.20125663152442774,-0.022087173773793742
