Target,xF bin,Mass bin,Raw Cross Section \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=3) \pm stat. error \pm syst. error,Unfolded (clean) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolded (messy) Cross Section (iter=4) \pm stat. error \pm syst. error,Unfolding syst (clean) [%],Unfolding syst (messy) [%]
LD2,0.05 <= xF < 0.10,4.50 <= Mass < 4.80,1.269078 \pm 0.529829 \pm 0.307409,2.176381 \pm 0.624360 \pm 0.527185,2.411493 \pm 0.478733 \pm 0.584136,-,-,12.06,13.06
LD2,0.05 <= xF < 0.10,4.80 <= Mass < 5.10,2.083096 \pm 0.235361 \pm 0.256941,1.669511 \pm 0.185639 \pm 0.205927,1.826329 \pm 0.189352 \pm 0.225269,-,-,4.73,6.36
LD2,0.05 <= xF < 0.10,5.10 <= Mass < 5.40,0.593891 \pm 0.101383 \pm 0.042199,0.827229 \pm 0.080724 \pm 0.058779,0.821891 \pm 0.091975 \pm 0.058400,-,-,3.63,7.04
LD2,0.05 <= xF < 0.10,5.40 <= Mass < 5.70,0.388869 \pm 0.057727 \pm 0.020787,0.346823 \pm 0.043263 \pm 0.018540,0.283050 \pm 0.039659 \pm 0.015131,-,-,7.27,7.22
LD2,0.05 <= xF < 0.10,5.70 <= Mass < 6.00,0.346383 \pm 0.049765 \pm 0.016421,0.287382 \pm 0.034162 \pm 0.013624,0.302592 \pm 0.031541 \pm 0.014345,-,-,2.70,1.31
LD2,0.05 <= xF < 0.10,6.00 <= Mass < 6.30,0.210059 \pm 0.036866 \pm 0.009372,0.224410 \pm 0.028344 \pm 0.010012,0.204423 \pm 0.026616 \pm 0.009120,-,-,3.60,4.73
LD2,0.05 <= xF < 0.10,6.30 <= Mass < 6.60,0.198724 \pm 0.032951 \pm 0.008473,0.173713 \pm 0.023049 \pm 0.007407,0.173753 \pm 0.020996 \pm 0.007409,-,-,3.99,2.72
LD2,0.05 <= xF < 0.10,6.60 <= Mass < 6.90,0.115805 \pm 0.025175 \pm 0.005203,0.107717 \pm 0.016909 \pm 0.004840,0.120122 \pm 0.017843 \pm 0.005397,-,-,2.73,3.82
LD2,0.05 <= xF < 0.10,6.90 <= Mass < 7.50,0.049662 \pm 0.013273 \pm 0.001916,0.049100 \pm 0.010614 \pm 0.001894,0.049167 \pm 0.010039 \pm 0.001897,-,-,9.06,9.33
LD2,0.05 <= xF < 0.10,7.50 <= Mass < 8.80,0.016579 \pm 0.006768 \pm 0.000722,0.011727 \pm 0.005584 \pm 0.000511,0.011759 \pm 0.005403 \pm 0.000512,-,-,6.08,6.04
LD2,0.10 <= xF < 0.15,3.90 <= Mass < 4.20,0.436660 \pm 0.195280 \pm 0.155151,-,-,-,-,-,-
LD2,0.10 <= xF < 0.15,4.20 <= Mass < 4.50,3.957888 \pm 0.748790 \pm 1.406203,3.631162 \pm 0.691745 \pm 1.290120,6.601996 \pm 1.166386 \pm 2.345631,-,-,4.90,6.98
LD2,0.10 <= xF < 0.15,4.50 <= Mass < 4.80,1.701149 \pm 0.219622 \pm 0.227604,2.001646 \pm 0.179295 \pm 0.267808,1.906576 \pm 0.170547 \pm 0.255088,-,-,3.80,4.43
LD2,0.10 <= xF < 0.15,4.80 <= Mass < 5.10,1.662349 \pm 0.163678 \pm 0.145897,1.693999 \pm 0.119598 \pm 0.148675,1.657272 \pm 0.144377 \pm 0.145452,-,-,2.36,2.95
LD2,0.10 <= xF < 0.15,5.10 <= Mass < 5.40,0.949504 \pm 0.093874 \pm 0.058323,1.034507 \pm 0.082947 \pm 0.063544,0.888584 \pm 0.071571 \pm 0.054581,-,-,1.42,2.03
LD2,0.10 <= xF < 0.15,5.40 <= Mass < 5.70,0.460647 \pm 0.052511 \pm 0.021776,0.418670 \pm 0.038900 \pm 0.019791,0.411298 \pm 0.037525 \pm 0.019443,-,-,6.26,5.90
LD2,0.10 <= xF < 0.15,5.70 <= Mass < 6.00,0.316209 \pm 0.038992 \pm 0.013335,0.281665 \pm 0.025948 \pm 0.011878,0.330284 \pm 0.026591 \pm 0.013928,-,-,3.61,3.46
LD2,0.10 <= xF < 0.15,6.00 <= Mass < 6.30,0.264420 \pm 0.031006 \pm 0.010600,0.226012 \pm 0.022406 \pm 0.009060,0.235807 \pm 0.022540 \pm 0.009453,-,-,1.21,1.60
LD2,0.10 <= xF < 0.15,6.30 <= Mass < 6.60,0.139462 \pm 0.026219 \pm 0.005496,0.180893 \pm 0.020310 \pm 0.007129,0.162949 \pm 0.018199 \pm 0.006422,-,-,4.39,3.40
LD2,0.10 <= xF < 0.15,6.60 <= Mass < 6.90,0.190113 \pm 0.030406 \pm 0.008151,0.146370 \pm 0.019791 \pm 0.006275,0.138607 \pm 0.019424 \pm 0.005943,-,-,6.65,6.93
LD2,0.10 <= xF < 0.15,6.90 <= Mass < 7.50,0.061334 \pm 0.013031 \pm 0.001999,0.056735 \pm 0.011390 \pm 0.001849,0.058592 \pm 0.011146 \pm 0.001909,-,-,5.73,5.84
LD2,0.10 <= xF < 0.15,7.50 <= Mass < 8.80,0.007916 \pm 0.004570 \pm 0.000395,0.005872 \pm 0.003147 \pm 0.000293,0.005639 \pm 0.003042 \pm 0.000282,-,-,21.50,21.63
LD2,0.15 <= xF < 0.20,3.90 <= Mass < 4.20,0.997977 \pm 1.779258 \pm 0.662900,1.422319 \pm 0.141834 \pm 0.944767,-,-,-,7.56,-
LD2,0.15 <= xF < 0.20,4.20 <= Mass < 4.50,3.097089 \pm 0.440463 \pm 0.724443,2.404840 \pm 0.594346 \pm 0.562518,1.359373 \pm 0.779646 \pm 0.317972,-,-,5.11,6.69
LD2,0.15 <= xF < 0.20,4.50 <= Mass < 4.80,2.406881 \pm 0.192892 \pm 15.142559,2.816329 \pm 0.193260 \pm 17.718547,3.146256 \pm 0.245481 \pm 19.794239,-,-,5.37,5.03
LD2,0.15 <= xF < 0.20,4.80 <= Mass < 5.10,1.572862 \pm 0.119263 \pm 2.164812,1.599027 \pm 0.088135 \pm 2.200823,1.800042 \pm 0.106082 \pm 2.477492,-,-,1.02,1.16
LD2,0.15 <= xF < 0.20,5.10 <= Mass < 5.40,0.834822 \pm 0.069297 \pm 0.042837,0.868990 \pm 0.056526 \pm 0.044590,0.824779 \pm 0.050915 \pm 0.042321,-,-,3.33,3.12
LD2,0.15 <= xF < 0.20,5.40 <= Mass < 5.70,0.541050 \pm 0.043339 \pm 0.023984,0.506357 \pm 0.033173 \pm 0.022447,0.467320 \pm 0.032351 \pm 0.020716,-,-,2.42,3.40
LD2,0.15 <= xF < 0.20,5.70 <= Mass < 6.00,0.359030 \pm 0.033463 \pm 0.013454,0.305924 \pm 0.023154 \pm 0.011464,0.295703 \pm 0.021609 \pm 0.011081,-,-,2.06,2.66
LD2,0.15 <= xF < 0.20,6.00 <= Mass < 6.30,0.207406 \pm 0.027661 \pm 0.007649,0.239268 \pm 0.020965 \pm 0.008823,0.206668 \pm 0.018289 \pm 0.007621,-,-,1.67,1.11
LD2,0.15 <= xF < 0.20,6.30 <= Mass < 6.60,0.224690 \pm 0.029408 \pm 0.008282,0.184316 \pm 0.019819 \pm 0.006794,0.189006 \pm 0.020067 \pm 0.006967,-,-,4.03,5.35
LD2,0.15 <= xF < 0.20,6.60 <= Mass < 6.90,0.115378 \pm 0.020396 \pm 0.004299,0.103157 \pm 0.015213 \pm 0.003843,0.106014 \pm 0.015452 \pm 0.003950,-,-,1.60,2.09
LD2,0.15 <= xF < 0.20,6.90 <= Mass < 7.50,0.043733 \pm 0.012562 \pm 0.001608,0.040155 \pm 0.009432 \pm 0.001477,0.038009 \pm 0.009214 \pm 0.001398,-,-,6.90,5.80
LD2,0.15 <= xF < 0.20,7.50 <= Mass < 8.80,0.018562 \pm 0.005870 \pm 0.000626,0.014032 \pm 0.005303 \pm 0.000474,0.014264 \pm 0.005138 \pm 0.000481,-,-,4.22,5.12
LD2,0.20 <= xF < 0.25,3.90 <= Mass < 4.20,3.028377 \pm 0.856098 \pm 0.968769,4.046427 \pm 0.635173 \pm 1.294440,7.226598 \pm 0.859485 \pm 2.311766,-,-,14.41,7.95
LD2,0.20 <= xF < 0.25,4.20 <= Mass < 4.50,3.192427 \pm 0.237242 \pm 0.410762,3.045282 \pm 0.213810 \pm 0.391829,2.620434 \pm 0.175217 \pm 0.337165,-,-,2.83,2.65
LD2,0.20 <= xF < 0.25,4.50 <= Mass < 4.80,1.600998 \pm 0.126541 \pm 0.115020,1.736625 \pm 0.087865 \pm 0.124764,1.521764 \pm 0.084036 \pm 0.109328,-,-,0.90,1.42
LD2,0.20 <= xF < 0.25,4.80 <= Mass < 5.10,1.258824 \pm 0.069612 \pm 0.066598,1.236255 \pm 0.060777 \pm 0.065404,1.239960 \pm 0.063736 \pm 0.065600,-,-,1.61,1.97
LD2,0.20 <= xF < 0.25,5.10 <= Mass < 5.40,0.845535 \pm 0.057004 \pm 0.037888,0.838453 \pm 0.044532 \pm 0.037570,0.863352 \pm 0.042588 \pm 0.038686,-,-,2.17,1.69
LD2,0.20 <= xF < 0.25,5.40 <= Mass < 5.70,0.559176 \pm 0.042283 \pm 0.022494,0.586429 \pm 0.034198 \pm 0.023590,0.662463 \pm 0.038065 \pm 0.026649,-,-,1.33,0.74
LD2,0.20 <= xF < 0.25,5.70 <= Mass < 6.00,0.443635 \pm 0.039497 \pm 0.016865,0.421018 \pm 0.028329 \pm 0.016005,0.415033 \pm 0.027675 \pm 0.015778,-,-,1.45,2.25
LD2,0.20 <= xF < 0.25,6.00 <= Mass < 6.30,0.260895 \pm 0.028890 \pm 0.009118,0.262031 \pm 0.022389 \pm 0.009158,0.249230 \pm 0.021088 \pm 0.008710,-,-,1.85,0.92
LD2,0.20 <= xF < 0.25,6.30 <= Mass < 6.60,0.202341 \pm 0.026890 \pm 0.007034,0.150232 \pm 0.016539 \pm 0.005222,0.133106 \pm 0.015029 \pm 0.004627,-,-,2.04,3.75
LD2,0.20 <= xF < 0.25,6.60 <= Mass < 6.90,0.062745 \pm 0.015368 \pm 0.002395,0.083789 \pm 0.011662 \pm 0.003198,0.078834 \pm 0.010783 \pm 0.003009,-,-,3.83,5.16
LD2,0.20 <= xF < 0.25,6.90 <= Mass < 7.50,0.056917 \pm 0.011488 \pm 0.001590,0.040104 \pm 0.008686 \pm 0.001120,0.042615 \pm 0.008558 \pm 0.001191,-,-,2.49,1.99
LD2,0.20 <= xF < 0.25,7.50 <= Mass < 8.80,0.009432 \pm 0.003565 \pm 0.000335,0.007954 \pm 0.003080 \pm 0.000283,0.007401 \pm 0.003012 \pm 0.000263,-,-,15.14,12.36
LD2,0.25 <= xF < 0.30,3.90 <= Mass < 4.20,3.427529 \pm 0.295798 \pm 0.512366,3.456329 \pm 0.344383 \pm 0.516671,3.019199 \pm 0.255138 \pm 0.451327,-,-,6.59,3.15
LD2,0.25 <= xF < 0.30,4.20 <= Mass < 4.50,2.656988 \pm 0.169177 \pm 0.242306,2.929969 \pm 0.150799 \pm 0.267201,2.886104 \pm 0.137999 \pm 0.263201,-,-,2.57,5.59
LD2,0.25 <= xF < 0.30,4.50 <= Mass < 4.80,1.708130 \pm 0.092540 \pm 0.102946,1.857087 \pm 0.073879 \pm 0.111923,1.895632 \pm 0.073263 \pm 0.114246,-,-,1.48,1.46
LD2,0.25 <= xF < 0.30,4.80 <= Mass < 5.10,0.993428 \pm 0.059470 \pm 0.046798,0.937988 \pm 0.047721 \pm 0.044186,0.998154 \pm 0.050680 \pm 0.047020,-,-,3.93,5.15
LD2,0.25 <= xF < 0.30,5.10 <= Mass < 5.40,0.736564 \pm 0.045991 \pm 0.030357,0.711320 \pm 0.036192 \pm 0.029317,0.641268 \pm 0.034360 \pm 0.026430,-,-,2.17,2.26
LD2,0.25 <= xF < 0.30,5.40 <= Mass < 5.70,0.433655 \pm 0.033353 \pm 0.015226,0.416455 \pm 0.023803 \pm 0.014622,0.430632 \pm 0.024231 \pm 0.015119,-,-,0.81,0.85
LD2,0.25 <= xF < 0.30,5.70 <= Mass < 6.00,0.375858 \pm 0.029931 \pm 0.013356,0.374580 \pm 0.022221 \pm 0.013310,0.396920 \pm 0.022702 \pm 0.014104,-,-,2.65,2.44
LD2,0.25 <= xF < 0.30,6.00 <= Mass < 6.30,0.274374 \pm 0.024418 \pm 0.008994,0.239727 \pm 0.017793 \pm 0.007858,0.230210 \pm 0.016987 \pm 0.007546,-,-,1.79,1.14
LD2,0.25 <= xF < 0.30,6.30 <= Mass < 6.60,0.146468 \pm 0.020396 \pm 0.004754,0.151144 \pm 0.014707 \pm 0.004905,0.151370 \pm 0.014105 \pm 0.004913,-,-,2.86,1.81
LD2,0.25 <= xF < 0.30,6.60 <= Mass < 6.90,0.081593 \pm 0.016054 \pm 0.002612,0.091710 \pm 0.010463 \pm 0.002936,0.084963 \pm 0.010100 \pm 0.002720,-,-,1.23,1.24
LD2,0.25 <= xF < 0.30,6.90 <= Mass < 7.50,0.072437 \pm 0.010566 \pm 0.001873,0.055436 \pm 0.008898 \pm 0.001433,0.054083 \pm 0.008565 \pm 0.001398,-,-,3.24,3.45
LD2,0.25 <= xF < 0.30,7.50 <= Mass < 8.80,0.009104 \pm 0.003441 \pm 0.000275,0.007801 \pm 0.002864 \pm 0.000236,0.008466 \pm 0.002873 \pm 0.000256,-,-,17.79,18.32
LD2,0.25 <= xF < 0.30,8.80 <= Mass < 10.00,0.006069 \pm 0.006069 \pm 0.000447,0.004875 \pm 0.005387 \pm 0.000359,0.005464 \pm 0.005612 \pm 0.000403,-,-,8.12,6.92
LD2,0.30 <= xF < 0.35,3.90 <= Mass < 4.20,3.087966 \pm 0.193724 \pm 0.320390,3.413529 \pm 0.237758 \pm 0.354169,3.620507 \pm 0.239981 \pm 0.375644,-,-,8.90,9.68
LD2,0.30 <= xF < 0.35,4.20 <= Mass < 4.50,1.892582 \pm 0.095336 \pm 0.118932,1.899507 \pm 0.083704 \pm 0.119368,1.992033 \pm 0.086315 \pm 0.125182,-,-,2.90,3.96
LD2,0.30 <= xF < 0.35,4.50 <= Mass < 4.80,1.374779 \pm 0.073639 \pm 0.072263,1.537444 \pm 0.064533 \pm 0.080814,1.501214 \pm 0.063375 \pm 0.078909,-,-,3.00,2.72
LD2,0.30 <= xF < 0.35,4.80 <= Mass < 5.10,1.146581 \pm 0.056423 \pm 0.050633,1.199568 \pm 0.048350 \pm 0.052973,1.108802 \pm 0.044353 \pm 0.048965,-,-,0.75,1.02
LD2,0.30 <= xF < 0.35,5.10 <= Mass < 5.40,0.717973 \pm 0.039752 \pm 0.027676,0.659950 \pm 0.030514 \pm 0.025439,0.673964 \pm 0.029319 \pm 0.025979,-,-,0.89,0.83
LD2,0.30 <= xF < 0.35,5.40 <= Mass < 5.70,0.440609 \pm 0.032138 \pm 0.015634,0.465532 \pm 0.024979 \pm 0.016518,0.477728 \pm 0.024902 \pm 0.016951,-,-,2.35,2.74
LD2,0.30 <= xF < 0.35,5.70 <= Mass < 6.00,0.341942 \pm 0.027707 \pm 0.011447,0.306980 \pm 0.020565 \pm 0.010276,0.286064 \pm 0.019131 \pm 0.009576,-,-,0.82,0.98
LD2,0.30 <= xF < 0.35,6.00 <= Mass < 6.30,0.231838 \pm 0.022262 \pm 0.007556,0.236146 \pm 0.017524 \pm 0.007696,0.233348 \pm 0.016898 \pm 0.007605,-,-,1.92,2.63
LD2,0.30 <= xF < 0.35,6.30 <= Mass < 6.60,0.171421 \pm 0.021380 \pm 0.005424,0.166668 \pm 0.015659 \pm 0.005274,0.168759 \pm 0.015173 \pm 0.005340,-,-,3.64,3.29
LD2,0.30 <= xF < 0.35,6.60 <= Mass < 6.90,0.111496 \pm 0.016093 \pm 0.003417,0.094711 \pm 0.010786 \pm 0.002902,0.083261 \pm 0.009703 \pm 0.002552,-,-,1.30,2.40
LD2,0.30 <= xF < 0.35,6.90 <= Mass < 7.50,0.046062 \pm 0.009253 \pm 0.001287,0.048394 \pm 0.007924 \pm 0.001352,0.047685 \pm 0.007402 \pm 0.001332,-,-,5.19,6.63
LD2,0.30 <= xF < 0.35,7.50 <= Mass < 8.80,0.018002 \pm 0.004500 \pm 0.000490,0.013685 \pm 0.004040 \pm 0.000372,0.013840 \pm 0.004026 \pm 0.000377,-,-,4.63,4.14
LD2,0.35 <= xF < 0.40,3.90 <= Mass < 4.20,3.665609 \pm 0.148146 \pm 0.304303,3.961061 \pm 0.168046 \pm 0.328830,4.147252 \pm 0.176768 \pm 0.344287,-,-,10.03,10.46
LD2,0.35 <= xF < 0.40,4.20 <= Mass < 4.50,1.888576 \pm 0.086512 \pm 0.111832,2.438092 \pm 0.075080 \pm 0.144371,2.262377 \pm 0.072229 \pm 0.133966,-,-,3.87,4.90
LD2,0.35 <= xF < 0.40,4.50 <= Mass < 4.80,1.401788 \pm 0.059011 \pm 0.065213,1.418177 \pm 0.047381 \pm 0.065976,1.511242 \pm 0.047005 \pm 0.070305,-,-,4.92,3.53
LD2,0.35 <= xF < 0.40,4.80 <= Mass < 5.10,0.968022 \pm 0.045443 \pm 0.038402,0.947544 \pm 0.036581 \pm 0.037589,0.978651 \pm 0.037477 \pm 0.038823,-,-,1.25,1.72
LD2,0.35 <= xF < 0.40,5.10 <= Mass < 5.40,0.588510 \pm 0.033194 \pm 0.020973,0.590282 \pm 0.025963 \pm 0.021036,0.602056 \pm 0.026495 \pm 0.021456,-,-,0.95,2.15
LD2,0.35 <= xF < 0.40,5.40 <= Mass < 5.70,0.420401 \pm 0.029446 \pm 0.014544,0.434425 \pm 0.022627 \pm 0.015029,0.413802 \pm 0.021423 \pm 0.014316,-,-,0.77,0.78
LD2,0.35 <= xF < 0.40,5.70 <= Mass < 6.00,0.323530 \pm 0.025530 \pm 0.010495,0.298719 \pm 0.019112 \pm 0.009690,0.282767 \pm 0.018781 \pm 0.009173,-,-,1.26,1.30
LD2,0.35 <= xF < 0.40,6.00 <= Mass < 6.30,0.190034 \pm 0.018796 \pm 0.005783,0.194067 \pm 0.014989 \pm 0.005906,0.201547 \pm 0.014531 \pm 0.006134,-,-,1.06,0.95
LD2,0.35 <= xF < 0.40,6.30 <= Mass < 6.60,0.129184 \pm 0.018573 \pm 0.003914,0.130542 \pm 0.012930 \pm 0.003955,0.125073 \pm 0.012503 \pm 0.003789,-,-,1.16,1.42
LD2,0.35 <= xF < 0.40,6.60 <= Mass < 6.90,0.114745 \pm 0.016904 \pm 0.003567,0.099176 \pm 0.010990 \pm 0.003083,0.098678 \pm 0.010591 \pm 0.003068,-,-,4.06,3.42
LD2,0.35 <= xF < 0.40,6.90 <= Mass < 7.50,0.059807 \pm 0.009446 \pm 0.001421,0.055881 \pm 0.008314 \pm 0.001328,0.055202 \pm 0.007949 \pm 0.001311,-,-,1.97,1.77
LD2,0.35 <= xF < 0.40,7.50 <= Mass < 8.80,0.014529 \pm 0.003751 \pm 0.000381,0.011736 \pm 0.003382 \pm 0.000308,0.012026 \pm 0.003424 \pm 0.000315,-,-,12.16,10.66
LD2,0.35 <= xF < 0.40,8.80 <= Mass < 10.00,0.003665 \pm 0.003665 \pm 0.000556,0.002692 \pm 0.002819 \pm 0.000409,0.003428 \pm 0.003120 \pm 0.000520,-,-,5.84,5.03
LD2,0.40 <= xF < 0.45,3.90 <= Mass < 4.20,3.216413 \pm 0.116297 \pm 0.227969,4.306901 \pm 0.166917 \pm 0.305260,3.843037 \pm 0.147934 \pm 0.272382,-,-,8.10,9.15
LD2,0.40 <= xF < 0.45,4.20 <= Mass < 4.50,1.677236 \pm 0.073383 \pm 0.091663,1.928010 \pm 0.059510 \pm 0.105368,2.062743 \pm 0.060104 \pm 0.112731,-,-,4.16,3.65
LD2,0.40 <= xF < 0.45,4.50 <= Mass < 4.80,1.199835 \pm 0.049501 \pm 0.051483,1.295230 \pm 0.040546 \pm 0.055577,1.185534 \pm 0.038982 \pm 0.050870,-,-,5.15,7.05
LD2,0.40 <= xF < 0.45,4.80 <= Mass < 5.10,0.852481 \pm 0.038980 \pm 0.032310,0.828750 \pm 0.032453 \pm 0.031410,0.886799 \pm 0.034420 \pm 0.033610,-,-,2.15,2.26
LD2,0.40 <= xF < 0.45,5.10 <= Mass < 5.40,0.548450 \pm 0.031233 \pm 0.018963,0.558479 \pm 0.024563 \pm 0.019310,0.549274 \pm 0.023670 \pm 0.018992,-,-,0.50,0.73
LD2,0.40 <= xF < 0.45,5.40 <= Mass < 5.70,0.395578 \pm 0.025562 \pm 0.012617,0.376749 \pm 0.019656 \pm 0.012016,0.372808 \pm 0.019018 \pm 0.011890,-,-,1.14,1.07
LD2,0.40 <= xF < 0.45,5.70 <= Mass < 6.00,0.279026 \pm 0.022904 \pm 0.008494,0.281137 \pm 0.016998 \pm 0.008558,0.287364 \pm 0.017343 \pm 0.008748,-,-,0.74,0.84
LD2,0.40 <= xF < 0.45,6.00 <= Mass < 6.30,0.179730 \pm 0.017429 \pm 0.005202,0.174018 \pm 0.012984 \pm 0.005036,0.174980 \pm 0.012486 \pm 0.005064,-,-,0.81,1.17
LD2,0.40 <= xF < 0.45,6.30 <= Mass < 6.60,0.130677 \pm 0.016575 \pm 0.003762,0.127373 \pm 0.011859 \pm 0.003667,0.125740 \pm 0.011614 \pm 0.003620,-,-,2.04,2.18
LD2,0.40 <= xF < 0.45,6.60 <= Mass < 6.90,0.091292 \pm 0.015081 \pm 0.002660,0.082480 \pm 0.010271 \pm 0.002403,0.083164 \pm 0.009840 \pm 0.002423,-,-,3.05,2.26
LD2,0.40 <= xF < 0.45,6.90 <= Mass < 7.50,0.039959 \pm 0.008140 \pm 0.000972,0.031587 \pm 0.006612 \pm 0.000769,0.030574 \pm 0.006238 \pm 0.000744,-,-,5.53,6.93
LD2,0.40 <= xF < 0.45,7.50 <= Mass < 8.80,0.005074 \pm 0.003292 \pm 0.000160,0.003262 \pm 0.002324 \pm 0.000103,0.003360 \pm 0.002257 \pm 0.000106,-,-,18.19,18.68
LD2,0.45 <= xF < 0.50,3.90 <= Mass < 4.20,2.429375 \pm 0.083354 \pm 0.149483,3.192200 \pm 0.112924 \pm 0.196421,2.845699 \pm 0.103230 \pm 0.175100,-,-,7.57,9.28
LD2,0.45 <= xF < 0.50,4.20 <= Mass < 4.50,1.297515 \pm 0.053754 \pm 0.064146,1.563315 \pm 0.041943 \pm 0.077286,1.683082 \pm 0.045274 \pm 0.083207,-,-,4.17,3.80
LD2,0.45 <= xF < 0.50,4.50 <= Mass < 4.80,0.938041 \pm 0.039015 \pm 0.037225,0.939865 \pm 0.031455 \pm 0.037297,1.021890 \pm 0.031859 \pm 0.040552,-,-,6.50,7.28
LD2,0.45 <= xF < 0.50,4.80 <= Mass < 5.10,0.709466 \pm 0.033142 \pm 0.025843,0.757162 \pm 0.027559 \pm 0.027581,0.708073 \pm 0.025338 \pm 0.025793,-,-,1.29,2.49
LD2,0.45 <= xF < 0.50,5.10 <= Mass < 5.40,0.492426 \pm 0.026701 \pm 0.015871,0.455868 \pm 0.020174 \pm 0.014693,0.455775 \pm 0.020574 \pm 0.014690,-,-,1.12,2.40
LD2,0.45 <= xF < 0.50,5.40 <= Mass < 5.70,0.322580 \pm 0.022020 \pm 0.010035,0.334581 \pm 0.017257 \pm 0.010408,0.335060 \pm 0.016638 \pm 0.010423,-,-,0.55,0.58
LD2,0.45 <= xF < 0.50,5.70 <= Mass < 6.00,0.233219 \pm 0.019058 \pm 0.006880,0.219656 \pm 0.014112 \pm 0.006480,0.217962 \pm 0.013451 \pm 0.006430,-,-,0.99,0.74
LD2,0.45 <= xF < 0.50,6.00 <= Mass < 6.30,0.189712 \pm 0.018274 \pm 0.005572,0.188778 \pm 0.013654 \pm 0.005545,0.188142 \pm 0.013770 \pm 0.005526,-,-,1.97,1.74
LD2,0.45 <= xF < 0.50,6.30 <= Mass < 6.60,0.124401 \pm 0.014560 \pm 0.003543,0.112643 \pm 0.010430 \pm 0.003208,0.106620 \pm 0.009781 \pm 0.003037,-,-,0.89,0.88
LD2,0.45 <= xF < 0.50,6.60 <= Mass < 6.90,0.061389 \pm 0.012487 \pm 0.001818,0.074192 \pm 0.008659 \pm 0.002197,0.072038 \pm 0.008571 \pm 0.002133,-,-,1.44,1.29
LD2,0.45 <= xF < 0.50,6.90 <= Mass < 7.50,0.050283 \pm 0.007668 \pm 0.001120,0.041331 \pm 0.006591 \pm 0.000920,0.042271 \pm 0.006612 \pm 0.000941,-,-,2.95,3.91
LD2,0.45 <= xF < 0.50,7.50 <= Mass < 8.80,0.010748 \pm 0.003103 \pm 0.000253,0.008565 \pm 0.002855 \pm 0.000202,0.009634 \pm 0.002989 \pm 0.000227,-,-,12.28,12.69
LD2,0.50 <= xF < 0.55,3.90 <= Mass < 4.20,1.764504 \pm 0.065657 \pm 0.096301,2.287498 \pm 0.090064 \pm 0.124844,2.133309 \pm 0.083545 \pm 0.116429,-,-,6.90,7.29
LD2,0.50 <= xF < 0.55,4.20 <= Mass < 4.50,1.146842 \pm 0.044399 \pm 0.053231,1.330191 \pm 0.037890 \pm 0.061741,1.416684 \pm 0.037730 \pm 0.065755,-,-,3.40,2.30
LD2,0.50 <= xF < 0.55,4.50 <= Mass < 4.80,0.823666 \pm 0.036832 \pm 0.033374,0.895159 \pm 0.030236 \pm 0.036271,0.917354 \pm 0.030467 \pm 0.037170,-,-,4.74,5.51
LD2,0.50 <= xF < 0.55,4.80 <= Mass < 5.10,0.542515 \pm 0.027826 \pm 0.019199,0.526425 \pm 0.022220 \pm 0.018630,0.521899 \pm 0.021405 \pm 0.018470,-,-,2.52,2.90
LD2,0.50 <= xF < 0.55,5.10 <= Mass < 5.40,0.375260 \pm 0.022227 \pm 0.011958,0.374072 \pm 0.018178 \pm 0.011920,0.371971 \pm 0.018034 \pm 0.011853,-,-,0.56,0.58
LD2,0.50 <= xF < 0.55,5.40 <= Mass < 5.70,0.262484 \pm 0.020788 \pm 0.008120,0.247468 \pm 0.015520 \pm 0.007656,0.238944 \pm 0.014938 \pm 0.007392,-,-,0.81,0.91
LD2,0.50 <= xF < 0.55,5.70 <= Mass < 6.00,0.180624 \pm 0.016763 \pm 0.005202,0.172279 \pm 0.012146 \pm 0.004962,0.177382 \pm 0.012317 \pm 0.005109,-,-,1.12,1.03
LD2,0.50 <= xF < 0.55,6.00 <= Mass < 6.30,0.139078 \pm 0.015102 \pm 0.003951,0.135197 \pm 0.010858 \pm 0.003841,0.134273 \pm 0.010544 \pm 0.003814,-,-,0.84,0.88
LD2,0.50 <= xF < 0.55,6.30 <= Mass < 6.60,0.078369 \pm 0.011760 \pm 0.002253,0.094787 \pm 0.009481 \pm 0.002725,0.092096 \pm 0.008891 \pm 0.002648,-,-,0.97,1.13
LD2,0.50 <= xF < 0.55,6.60 <= Mass < 6.90,0.080202 \pm 0.011956 \pm 0.002251,0.068131 \pm 0.008134 \pm 0.001912,0.069289 \pm 0.008362 \pm 0.001945,-,-,3.25,3.33
LD2,0.50 <= xF < 0.55,6.90 <= Mass < 7.50,0.035854 \pm 0.006609 \pm 0.000760,0.032974 \pm 0.005620 \pm 0.000699,0.034870 \pm 0.005612 \pm 0.000739,-,-,1.69,1.78
LD2,0.50 <= xF < 0.55,7.50 <= Mass < 8.80,0.010781 \pm 0.002881 \pm 0.000270,0.007599 \pm 0.002528 \pm 0.000190,0.007876 \pm 0.002538 \pm 0.000197,-,-,10.47,11.27
LD2,0.55 <= xF < 0.60,3.90 <= Mass < 4.20,1.267928 \pm 0.048132 \pm 0.063872,1.561750 \pm 0.061381 \pm 0.078673,1.561098 \pm 0.062834 \pm 0.078640,-,-,7.31,7.70
