Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.20)",4.05,4.079179020403406,395,84,19,5,0.7191223603820287,0.6801013174223312,0.6980500530588566,1362.996034835146,334.13489038300503
"[4.20, 4.50)",4.35,4.386165896552166,548,92,26,4,0.6926130092967144,0.6787273294530718,0.6742288672186132,2186.010362261267,498.38752427937675
"[4.50, 4.80)",4.65,4.64898412742373,657,103,25,9,0.692618805314708,0.6744175028891654,0.7532180714906547,3234.3418278254985,695.7093720209868
"[4.80, 5.10)",4.949999999999999,4.947449692032242,525,41,21,4,0.6715267606973353,0.6911206117281521,0.750874111119914,3016.6442260941185,609.7372209670685
"[5.10, 5.40)",5.25,5.2531495416212275,388,42,10,1,0.6780851196460663,0.6711672395077062,0.6356286243574738,2315.776592775071,440.8358403709893
"[5.40, 5.70)",5.550000000000001,5.548543327263247,283,20,10,2,0.664026495326617,0.6688548020573832,0.6260500121558942,1849.9598836576702,333.41361408637334
"[5.70, 6.00)",5.85,5.843957960968257,163,11,1,1,0.6709714247745445,0.6481247820515558,0.0,1323.8739792319018,226.5372181104047
"[6.00, 6.30)",6.15,6.138169585145289,103,2,2,2,0.671607619203301,0.6560875961298054,0.0,923.0912669440827,150.38542909893118
"[6.30, 6.60)",6.449999999999999,6.451705175690388,61,3,2,0,0.6549904356505781,0.6608812048714544,0.5993733668239714,465.7487721106478,72.19002719863259
"[6.60, 6.90)",6.75,6.729851016537427,40,1,1,0,0.6229964211447098,0.6561680854233737,0.7022369915402852,374.3042802810846,55.61850914103411
"[6.90, 7.50)",7.2,7.111870289343715,31,2,0,0,0.6826110562636288,0.6405115362047502,0.0,302.14019608746986,42.483929514320685
"[7.50, 8.80)",8.15,7.598160505294801,2,0,0,0,0.5348996189290152,0.5811329016977471,0.0,28.4096687917182,3.7390193023588854
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0.0,0.6822173869445134,0.0,0.0,0.0
