pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.964379642577075,326,7,284,16,11,1,0.6567295301199032,0.6532976451622885,0.738335376779409,2245.5523815555584,452.33292842806486
"[0.32, 0.49)",0.405,5.087343497098984,377,16,322,12,7,1,0.6783138688563516,0.6661146984074887,0.709761896658636,2627.694767739432,516.5160892394731
"[0.49, 0.63)",0.56,4.988642836646267,340,10,274,15,9,0,0.6623862419680578,0.6586464187680467,0.6137523662020504,2308.9724598058137,462.8458150670243
"[0.63, 0.77)",0.7,5.082425916153028,347,19,288,7,9,2,0.6619636591620568,0.6471843403334443,0.6738162527881043,2427.2768577516813,477.58233918123244
"[0.77, 0.95)",0.86,4.997891676029729,371,23,322,15,4,3,0.6614105687139893,0.6466509950430026,0.9423411995035946,2643.6621480911535,528.9554715181922
"[0.95, 1.18)",1.065,5.106066447093085,317,31,300,29,6,2,0.6591934209742363,0.6312853586025672,0.6389415002559309,2211.6220269228947,433.136162609475
"[1.18, 1.80)",1.49,5.230979783254484,281,58,271,47,11,9,0.6243858611593047,0.6398196964468847,0.8773756651345832,1769.109659754685,338.1985274380134
