pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.0414943674964245,284,16,11,1,0.6567295301199032,0.6532976451622885,0.738335376779409,1739.9161254464561,345.1191251276728
"[0.32, 0.49)",0.405,4.934155358891679,322,12,7,1,0.6783138688563516,0.6661146984074887,0.709761896658636,2061.078211972977,417.71652128033946
"[0.49, 0.63)",0.56,5.026833863569396,274,15,9,0,0.6623862419680578,0.6586464187680467,0.6137523662020504,1622.866126329874,322.84061307280365
"[0.63, 0.77)",0.7,5.0001218446083096,288,7,9,2,0.6619636591620568,0.6471843403334443,0.6738162527881043,1881.0450346660648,376.19983934879866
"[0.77, 0.95)",0.86,5.024550108507568,322,15,4,3,0.6614105687139893,0.6466509950430026,0.9423411995035946,2307.4051887708792,459.22622701363474
"[0.95, 1.18)",1.065,5.138735563479716,300,29,6,2,0.6591934209742363,0.6312853586025672,0.6389415002559309,1963.0235156391623,382.0051628245087
"[1.18, 1.80)",1.49,5.154215836180554,271,47,11,9,0.6243858611593047,0.6398196964468847,0.8773756651345832,1794.4680621052557,348.1553972786317
