pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.980857219338893,3211,101,2839,81,78,2,0.6985038405929052,0.6823686547580717,0.697483897654555,21312.110318684943,4278.803703896112
"[0.32, 0.49)",0.405,5.003158552488829,3462,135,3054,100,93,10,0.6993102663187986,0.6844633470744307,0.7486597508860133,22884.694421216493,4574.049409214199
"[0.49, 0.63)",0.56,5.030702874856285,3174,127,2887,146,107,10,0.6978016133430864,0.6812792653520816,0.7055600995842456,20806.012591161085,4135.8062896440615
"[0.63, 0.77)",0.7,5.018286257574919,3068,181,2741,160,91,13,0.6948246219801427,0.6805156729956691,0.71685563220801,19908.551622965922,3967.201271731897
"[0.77, 0.95)",0.86,5.058229679665444,3523,259,3057,241,113,14,0.6936547657287351,0.6758799921932052,0.6928276819544127,22659.216881434924,4479.673387020581
"[0.95, 1.18)",1.065,5.087656367284153,3078,347,2825,327,100,21,0.6868953027774714,0.6711306421297067,0.6387131198348236,19154.46341496207,3764.8893777759076
"[1.18, 1.80)",1.49,5.191373464510459,3145,595,2919,546,170,39,0.6738411360867071,0.6634786862742291,0.6662958028074484,17609.562373135603,3392.0815933430763
