recoeff,recoeff_error,hodoeff,hodoeff_error
0.8734837500292807,0.02358875211839213,1.0,0.0
0.7776018968583606,0.012955675268782288,1.0,0.0
0.3961546592306628,0.006968640170721761,1.0,0.0
0.5085961132917483,0.006915804482281056,1.0,0.0
0.3121743341424157,0.014270688688650337,1.0,0.0
0.7922673442539014,0.010584939861505657,1.0,0.0
0.8069327916494423,0.011505275495998932,1.0,0.0
0.8027426638221449,0.010899238097070404,1.0,0.0
0.768148474397472,0.011383852573809436,1.0,0.0
0.747856317049499,0.008604391588774338,1.0,0.0
0.7589247665120297,0.009456701383463032,1.0,0.0
0.8840534656292193,0.025352976888525936,1.0,0.0
0.8447855619240205,0.014596264902366856,1.0,0.0
0.6833869826906493,0.008258245054179113,1.0,0.0
0.6267708891191117,0.008096424516475631,1.0,0.0
0.8174081112176858,0.013910743715736659,1.0,0.0
0.7552352833578527,0.008962254514771083,1.0,0.0
0.6971568368539518,0.007343631648435252,1.0,0.0
0.685681958384533,0.008000212618907704,1.0,0.0
0.5104072354981537,0.007179564801982864,1.0,0.0
0.7589247665120297,0.009456701383463032,1.0,0.0
0.6220573439045005,0.007485997977896838,1.0,0.0
0.7838870885993067,0.01160208698949252,1.0,0.0
0.6994518125478355,0.00735488577417158,1.0,0.0
0.7718379575516489,0.012353753399139857,1.0,0.0
0.512218357704559,0.007464440516429288,1.0,0.0
0.694861861160068,0.007381753058933953,1.0,0.0
0.8842067727735967,0.03099682082349177,1.0,0.0
0.6481929306934903,0.00674892660117928,1.0,0.0
0.6833869826906493,0.008258245054179113,1.0,0.0
0.6126302534752781,0.006551598682965479,1.0,0.0
0.7699932159745604,0.011857768077764988,1.0,0.0
0.8174081112176858,0.013910743715736659,1.0,0.0
0.6197005712971949,0.0072126690355091465,1.0,0.0
0.8132179833903883,0.012821554109927896,1.0,0.0
0.7533905417807643,0.008789732692101615,1.0,0.0
0.8400025305731438,0.014479717555839197,1.0,0.0
0.7312536428557028,0.01086460954138055,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7017467882417192,0.00741529062901217,1.0,0.0
0.6079167082606669,0.00627045844465192,1.0,0.0
0.6810920069967656,0.008551057957961112,1.0,0.0
0.6562533823905607,0.006781300236582874,1.0,0.0
0.6643138340876312,0.007790770417294055,1.0,0.0
0.7901722803402527,0.010740206439513728,1.0,0.0
0.7817920246856579,0.012005620855207387,1.0,0.0
0.8615261716520889,0.018602519019749273,1.0,0.0
0.6126302534752781,0.006551598682965479,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.809027855563091,0.011895004664911614,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7201065937927891,0.009396160298104833,1.0,0.0
0.6197005712971949,0.0072126690355091465,1.0,0.0
0.60084639043875,0.0061321619213519415,1.0,0.0
0.47599591357645193,0.007650404742816878,1.0,0.0
0.8328279835468287,0.015278171095948383,1.0,0.0
0.7552352833578527,0.008962254514771083,1.0,0.0
0.3933753937939736,0.006630713959486286,1.0,0.0
0.8352194992222671,0.014888137232855696,1.0,0.0
0.8423940462485822,0.014471824090353653,1.0,0.0
0.6707621954452876,0.009096154957527665,1.0,0.0
0.7349431260098797,0.010064942535190623,1.0,0.0
0.4850515246084787,0.006387792950306654,1.0,0.0
0.4977293800533162,0.005920635669216489,1.0,0.0
0.7269915208744403,0.010619206250199258,1.0,0.0
0.7269915208744403,0.010619206250199258,1.0,0.0
0.809027855563091,0.011895004664911614,1.0,0.0
0.32705402841579,0.011931967005810533,1.0,0.0
0.6267708891191117,0.008096424516475631,1.0,0.0
0.7497010586265874,0.008609075160045814,1.0,0.0
0.8423940462485822,0.014471824090353653,1.0,0.0
0.7330983844327912,0.01044865574670934,1.0,0.0
0.6401324789964198,0.007705974033388853,1.0,0.0
0.4468601916762719,0.006307216574843401,1.0,0.0
0.4977293800533162,0.005920635669216489,1.0,0.0
0.8195031751313344,0.014505097254372006,1.0,0.0
0.8841812215828672,0.02941014552999478,1.0,0.0
0.7017467882417192,0.00741529062901217,1.0,0.0
0.5299298495157846,0.006548395899988289,1.0,0.0
0.5559779487915486,0.006223133655831558,1.0,0.0
0.7964574720811988,0.01049191866271363,1.0,0.0
0.7312536428557028,0.01086460954138055,1.0,0.0
0.644968750014662,0.00702630590725174,1.0,0.0
0.6994518125478355,0.00735488577417158,1.0,0.0
0.6336841176387634,0.008984716518105423,1.0,0.0
0.8844622846808924,0.05349555664242157,1.0,0.0
0.7985525359948474,0.010556080952227794,1.0,0.0
0.7736826991287373,0.012869257057201058,1.0,0.0
0.512218357704559,0.007464440516429288,1.0,0.0
0.768148474397472,0.011383852573809436,1.0,0.0
0.685681958384533,0.008000212618907704,1.0,0.0

average recoeff,0.6951207736000996
propagated recoeff_error (without correlations),0.0013230305117490496
propagated recoeff_error (with correlations),0.0063933330248236485
average hodoeff,1.0
propagated hodoeff_error,0.0
total_eff = average recoeff (with correlations) * average hodoeff,0.6951207736000996
total_eff_error = propagated error of total_eff,0.0063933330248236485
