Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.20)",4.05,4.033054481471388,1651,235,1553,178,47,6,0.6877579833557577,0.692508332834522,0.6782555160696154,7581.604591090875,1879.866643488749
"[4.20, 4.50)",4.35,4.343586529464677,1065,109,1002,67,16,3,0.6797979406733917,0.6831707218939188,0.7312659683224301,5818.739201453427,1339.616273782522
"[4.50, 4.80)",4.65,4.6445453925693965,828,44,657,40,20,0,0.6923918007999689,0.665524624539456,0.6698417834952326,5099.519436263616,1097.958789340742
"[4.80, 5.10)",4.949999999999999,4.936584755321176,532,24,476,17,7,1,0.6783371414631494,0.6720918578957157,0.7690896804990072,3596.7364501103684,728.5880073736045
"[5.10, 5.40)",5.25,5.251340841299618,367,11,366,12,6,0,0.6725429580645399,0.6688553574885601,0.6686244121493936,2649.2818732129153,504.4962711956177
"[5.40, 5.70)",5.550000000000001,5.5376302004345614,246,6,233,3,8,0,0.686456562842089,0.6670904448998972,0.6781430215328019,1818.4634712013176,328.38297347096506
"[5.70, 6.00)",5.85,5.849486413107921,160,2,125,2,3,0,0.6916155498125286,0.6640909336705773,0.7303552223586657,1322.660800711342,226.11571466298906
"[6.00, 6.30)",6.15,6.13936259867917,105,2,72,1,2,0,0.6807521699945516,0.6601273742840527,0.7508607619208789,911.9040677972246,148.5339973230141
"[6.30, 6.60)",6.449999999999999,6.413762157789136,51,0,55,0,1,0,0.6785126436023742,0.6642816837559173,0.8365039721334238,467.6959400122514,72.92068656525754
"[6.60, 6.90)",6.75,6.738353204928625,45,0,24,0,0,0,0.6687476158495714,0.6494229189424218,0.0,463.45994266482,68.77940775289608
"[6.90, 7.50)",7.2,7.1272626084711534,35,2,23,0,0,0,0.6565992192551267,0.6120423100263795,0.0,380.71867457626803,53.417236811754684
"[7.50, 8.80)",8.15,7.979124075620609,14,0,13,0,0,0,0.6441787469867184,0.6708707356203185,0.0,164.21034057859052,20.57999587703095
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
