Mass Bin,Mass Center,LH2 Mass Bin Average,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[3.90, 4.20)",4.05,4.036024363812712,1282,157,27,4,0.7122261566781074,0.693883593677944,0.6241136198668589,5645.843854164043,1398.8626790227258
"[4.20, 4.50)",4.35,4.345669451625817,800,65,17,4,0.6890677119187452,0.6825465731196126,0.7412079268383699,4261.6361334683925,980.6627450401261
"[4.50, 4.80)",4.65,4.637859502026014,590,29,6,1,0.69516188165727,0.6782432390908127,0.6936722306527824,3578.8709434856005,771.6643727396653
"[4.80, 5.10)",4.949999999999999,4.951283388860867,375,14,4,0,0.6805661580289302,0.6655010864602176,0.671644149502016,2481.780795475024,501.23990096353646
"[5.10, 5.40)",5.25,5.238926522192044,267,6,2,0,0.6881079109664813,0.6614087698971227,0.5930337845981315,1900.500171873363,362.76518936138194
"[5.40, 5.70)",5.550000000000001,5.541861496667459,159,3,3,0,0.6778129505977148,0.6653675147695287,0.639316504137238,1147.9631060477036,207.1439545607589
"[5.70, 6.00)",5.85,5.8369564904987925,100,4,3,0,0.6932109424790028,0.6926123825089963,0.6193561369339782,669.7116925845028,114.73645446469195
"[6.00, 6.30)",6.15,6.122543369836134,72,1,4,0,0.6895446306713338,0.6620761255522192,0.8267129514558973,485.1684940204103,79.24296566206203
"[6.30, 6.60)",6.449999999999999,6.435448747133748,39,0,1,0,0.6651535661043716,0.6406835694292471,0.719994722624269,333.50497648993985,51.82311126919905
"[6.60, 6.90)",6.75,6.686330949249049,24,0,0,0,0.6601843656323335,0.6621827792222164,0.0,243.07140722466968,36.353481314287826
"[6.90, 7.50)",7.2,7.151652329731615,22,0,0,0,0.6878181422617987,0.6667657456404535,0.0,228.7470213226941,31.98519877311744
"[7.50, 8.80)",8.15,7.9035410276913565,8,0,0,0,0.6863524595623024,0.6276241850314865,0.0,92.1222432303259,11.655818943377465
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0.0,0.6863403159022141,0.0,0.0,0.0
