Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[3.90, 4.20)",4.05,4.123832913426121,107,30,143,30,8,0,0.7201818078592217,0.6948906190585469,0.5779176991404009,318.9921800249161,77.353323163594
"[4.20, 4.50)",4.35,4.361794668403186,325,49,329,71,12,4,0.7042700753794127,0.6654203824312588,0.6885126454360212,1672.0530479537204,383.34061437280906
"[4.50, 4.80)",4.65,4.656805437276991,500,74,427,81,20,5,0.7065214565333959,0.6836473703167272,0.5847094344904316,2599.823368693869,558.2847305328013
"[4.80, 5.10)",4.949999999999999,4.9419108837586,470,43,433,63,7,8,0.6909648191345954,0.6619490996715037,-0.6514827536296472,3150.033479459445,637.4120362655484
"[5.10, 5.40)",5.25,5.242221906782658,405,38,349,40,10,2,0.6786936185432918,0.6694804442483809,0.6166520836278828,2686.2571559969265,512.4272119273143
"[5.40, 5.70)",5.550000000000001,5.538266780388101,271,15,247,19,3,0,0.6529888185121344,0.6671270836026242,0.6359568946280857,2038.6821477894575,368.10833219677335
"[5.70, 6.00)",5.85,5.837739562880889,193,9,157,16,2,1,0.6955277712122093,0.6405694751340723,0.5358622810665509,1635.3808836836872,280.1394043136513
"[6.00, 6.30)",6.15,6.118117930424808,131,5,97,4,4,0,0.6556856882524866,0.6639946994119564,0.5879340889332003,1054.719874182576,172.3928643051413
"[6.30, 6.60)",6.449999999999999,6.422856354282945,78,2,75,2,1,1,0.6613248551003792,0.6466330357543277,0.0,744.7582292597815,115.9543648774202
"[6.60, 6.90)",6.75,6.735481470076674,25,0,27,1,1,0,0.6641166242070723,0.6646809792931253,0.648274029882179,226.1392922439335,33.57433217633947
"[6.90, 7.50)",7.2,7.142152596382416,32,0,24,1,1,0,0.6348530462767599,0.6285895183920851,0.6952658987377331,336.7293415049281,47.146758202209995
"[7.50, 8.80)",8.15,7.717191390889169,7,0,9,0,0,0,0.6516442445951496,0.6896959555819722,0.0,76.80165609212959,9.952021687942167
"[8.80, 10.00)",9.4,9.4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
