Roadset Std Dev - LD2 _geom_pT2 - Stat Inverse Weights
Bin Index,Mean Cross Section,Standard Deviation,Relative Sys Error (%)
0,0.009417041913726524,0.001757807632656737,18.666239874057595
1,0.010728176554184506,0.0014109649514212714,13.151954987829942
2,0.009470859100795804,0.0011482257701706552,12.123776290518078
3,0.007310547100508124,0.0009695987544892669,13.263012209057162
4,0.005875788478986892,0.0008799321476340797,14.975558612787204
5,0.0037652123744233157,0.0007082795883040359,18.811145770031548
6,0.001482243856835867,0.00025902413131401284,17.47513609986884
