pT Bin,pT Center,LH2 Mass Centroid,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LH2 (num),Corrected Yield LH2 (denom)
"[0.00, 0.32)",0.16,5.032131911842487,276,16,11,1,0.6576858142424787,0.6527422014794605,0.738335376779409,1672.4889456915366,332.3619044555539
"[0.32, 0.49)",0.405,4.9184425092653274,316,11,7,1,0.6780831517726416,0.6683515316186803,0.709761896658636,2019.0122563194611,410.4982934162715
"[0.49, 0.63)",0.56,5.009402163933668,262,15,8,0,0.663100331099071,0.6589534867661899,0.6157161078187366,1563.3864449891792,312.09042393224803
"[0.63, 0.77)",0.7,4.98400371467615,282,7,8,2,0.6630379657211886,0.6465034532324452,0.6475304697698165,1852.4626290362007,371.68163089071254
"[0.77, 0.95)",0.86,5.006486251991829,313,14,4,3,0.6612136910282644,0.6454534310846763,0.9423411995035946,2239.228418527134,447.26546839837175
"[0.95, 1.18)",1.065,5.130740513627293,293,28,6,2,0.6596078328625069,0.6323877828616571,0.6389415002559309,1911.9733338493024,372.6505616043306
"[1.18, 1.80)",1.49,5.14335784551308,268,47,11,8,0.6249204836544409,0.6400870009960041,0.7281970195429034,1720.416773144703,334.49291782129177
