Roadset Std Dev - LH2 _geom_pT2 - Stat Inverse Weights
Bin Index,Mean Cross Section,Standard Deviation,Relative Sys Error (%)
0,0.005607134713337281,0.0009073255726959148,16.181626072541576
1,0.004779853749193172,0.0006307008632374653,13.194982447819164
2,0.0039134399109754785,0.00047898283003036516,12.239432338976993
3,0.003403990809794314,0.00046471489326790634,13.652060749717085
4,0.0025072829810388886,0.00031007704198903185,12.367054071437598
5,0.001747178954526872,0.0003108069100925542,17.78907130762225
6,0.0006218113068396866,8.330926410677647e-05,13.397836802001898
