pT Bin,pT Center,LD2 Mass Centroid,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[0.00, 0.32)",0.16,4.960610112106534,316,6,276,16,11,1,0.6576858142424787,0.6527422014794605,0.738335376779409,2178.4465021826877,439.1489056691064
"[0.32, 0.49)",0.405,5.077584339142705,373,16,316,11,7,1,0.6780831517726416,0.6683515316186803,0.709761896658636,2583.5970621714873,508.82405679699644
"[0.49, 0.63)",0.56,4.987247513171467,337,9,262,15,8,0,0.663100331099071,0.6589534867661899,0.6157161078187366,2311.8049852880213,463.5432629285947
"[0.63, 0.77)",0.7,5.0777941327658676,342,19,282,7,8,2,0.6630379657211886,0.6465034532324452,0.6475304697698165,2401.831590620577,473.00688602598046
"[0.77, 0.95)",0.86,4.994940628240731,361,22,313,14,4,3,0.6612136910282644,0.6454534310846763,0.9423411995035946,2578.3232403690536,516.1869644238725
"[0.95, 1.18)",1.065,5.110266663787889,310,30,293,28,6,2,0.6596078328625069,0.6323877828616571,0.6389415002559309,2161.626063392295,422.9967251435036
"[1.18, 1.80)",1.49,5.20694978733552,276,56,268,47,11,8,0.6249204836544409,0.6400870009960041,0.7281970195429034,1715.0382924028318,329.3748475497484
