Mass Bin,Mass Center,LD2 Mass Bin Average,N_LD2_total,N_LD2_mixed,N_LH2_total,N_LH2_mixed,N_flask_total,N_flask_mixed,eps_LH2,eps_LD2,eps_flask,Corrected Total Mass LD2 (num),Corrected Yield LD2 (denom)
"[4.20, 4.50)",4.35,4.35209990470003,1049,142,1019,130,40,7,0.6888721217638358,0.6697454061534988,0.6459269988164614,5312.196136479127,1220.6052831513002
"[4.50, 4.80)",4.65,4.641043498287175,950,85,870,81,26,2,0.6818988604623751,0.6664952410223188,0.7112206668526256,5593.428554603238,1205.209250175645
"[4.80, 5.10)",4.949999999999999,4.944925939651097,732,53,634,43,22,3,0.6897212710465237,0.6698662341182591,0.7113738978457094,4653.994487042345,941.1656602830175
"[5.10, 5.40)",5.25,5.238854701499994,471,33,436,21,7,1,0.6973512224544944,0.6800654393227807,0.5824905648400088,3207.8806928051945,612.3248067725015
"[5.40, 5.70)",5.550000000000001,5.529166747268918,297,9,241,8,10,0,0.693372456176715,0.6796560344241873,0.7589023780563462,2152.11579723066,389.22967882885393
"[5.70, 6.00)",5.85,5.838963821177291,208,5,188,3,4,0,0.6851893923496755,0.66373082091674,0.6676282920981794,1684.4173524145538,288.47881302250136
"[6.00, 6.30)",6.15,6.1236112745196625,123,2,114,3,2,0,0.7123435398376232,0.6874455364436967,0.796393692857754,1029.5287704487434,168.1244488415865
"[6.30, 6.60)",6.449999999999999,6.453745835337033,81,1,77,1,4,0,0.6875985231516912,0.6848202659156939,0.6908914863095109,659.474593062551,102.18477917919297
"[6.60, 6.90)",6.75,6.734695226317669,49,1,39,0,0,0,0.7207669131022997,0.6715755720449712,0.0,476.1458710620048,70.70043336205241
"[6.90, 7.50)",7.2,7.194565092395841,43,1,30,0,0,0,0.6917138696072506,0.6530036263911005,0.0,458.28198310278253,63.698358026832636
"[7.50, 8.70)",8.1,7.775068137335614,15,0,15,0,0,0,0.7203151962227171,0.6897524501250274,0.0,166.77000694742418,21.449330604139693
